Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
41202#Chapter I#Chapter I Certain infectious and parasitic diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0301,446766,28274,231,0.00817005022281955,418492,3954,0.0094482092847653,0.8636,0.7559,0.9867
Union#A390#Meningococcal meningitis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0538,294631,39,2,0.0512820512820513,294592,2820,0.0095725613730176,5.5927,1.3473,23.216
Union#A400#Sepsis due to streptococcus group A,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0822,294698,106,3,0.0283018867924528,294592,2820,0.0095725613730176,3.0136,0.9556,9.5037
Union#A41#Other sepsis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0556,249835,16378,133,0.00812064965197216,233457,2250,0.00963774913581516,0.8413,0.7058,1.0028
Union#B004#Herpesviral encephalitis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0368,294668,76,3,0.0394736842105263,294592,2820,0.0095725613730176,4.252,1.3393,13.4989
Union#B005#Herpesviral ocular disease,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0914,294703,111,3,0.027027027027027,294592,2820,0.0095725613730176,2.874,0.912,9.0569
Union#B01#Varicella [chickenpox],European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0288,314655,20063,161,0.00802472212530529,294592,2820,0.0095725613730176,0.837,0.7136,0.9817
Union#B05#Measles,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0645,295848,14523,116,0.00798733044136886,281325,2677,0.00951568470630054,0.8381,0.6954,1.0101
Union#B169#Acute hepatitis B without delta-agent and without hepatic coma,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0801,180642,107,3,0.0280373831775701,180535,1692,0.00937214390561387,3.049,0.9666,9.6179
Union#B333#Retrovirus infections not elsewhere classified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0557,219862,150,4,0.0266666666666667,219712,2085,0.00948969560151471,2.8597,1.0581,7.7289
Union#B34#Viral infection of unspecified site,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0371,271822,11219,86,0.00766556734111775,260603,2506,0.00961615944559349,0.7956,0.6412,0.9872
Union#B370#Candidal stomatitis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0099,297979,3387,48,0.0141718334809566,294592,2820,0.0095725613730176,1.4874,1.1159,1.9825
Union#B99#Other and unspecified infectious diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0812,272115,1272,6,0.00471698113207547,270843,2582,0.00953319819969503,0.4924,0.2206,1.0991
Union#Block A30-A49#A30-A49 Other bacterial diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0407,252420,18525,150,0.00809716599190283,233895,2246,0.00960259945702131,0.8419,0.7132,0.994
Union#Block B25-B34#B25-B34 Other viral diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0078,280884,3654,20,0.00547345374931582,277230,2659,0.0095913140713487,0.5683,0.3656,0.8834
Union#Chapter I#Chapter I Certain infectious and parasitic diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0883,352725,76842,688,0.00895343692251633,275883,2657,0.00963089425589833,0.929,0.854,1.0107
20001#1044#prostate cancer,European,flexdmg,Chapter II Neoplasms,0.0996,198098,3235,40,0.0123647604327666,194863,1847,0.00947845409338869,1.3083,0.9546,1.7931
20001#1047#lymphoma,European,flexdmg,Chapter II Neoplasms,0.0177,352914,1416,5,0.00353107344632768,351498,3298,0.00938269919032256,0.3741,0.1554,0.9009
20001#1062#squamous cell carcinoma,European,flexdmg,Chapter II Neoplasms,0.0231,409791,556,11,0.0197841726618705,409235,3847,0.00940046672449815,2.1269,1.1699,3.8667
20001#1068#sarcoma|fibrosarcoma,European,flexdmg,Chapter II Neoplasms,0.0779,409475,240,5,0.0208333333333333,409235,3847,0.00940046672449815,2.2421,0.9241,5.44
20001#1084#respiratory | intrathoracic cancer,European,flexdmg,Chapter II Neoplasms,0.0953,282611,781,12,0.0153649167733675,281830,2681,0.00951282688145336,1.6248,0.9175,2.8773
40001#C180#Malignant neoplasm: Caecum,European,flexdmg,Chapter II Neoplasms,0.0913,341861,181,4,0.0220994475138122,341680,3195,0.00935085460079607,2.3942,0.8882,6.4537
40001#C23#Malignant neoplasm of gallbladder,European,flexdmg,Chapter II Neoplasms,0.0532,261558,90,3,0.0333333333333333,261468,2451,0.00937399605305429,3.6441,1.152,11.5276
40001#C269#Malignant neoplasm: Ill-defined sites within the digestive system,European,flexdmg,Chapter II Neoplasms,0.0661,250353,45,2,0.0444444444444444,250308,2332,0.00931652204484076,4.9459,1.1974,20.4285
40001#C341#Malignant neoplasm: Upper lobe bronchus or lung,European,flexdmg,Chapter II Neoplasms,0.0493,341718,38,2,0.0526315789473684,341680,3195,0.00935085460079607,5.8857,1.4165,24.4555
40001#D43#Neoplasm of uncertain or unknown behaviour of brain and central nervous system,European,flexdmg,Chapter II Neoplasms,0.0072,341722,42,3,0.0714285714285714,341680,3195,0.00935085460079607,8.1494,2.5171,26.3847
40001#D432#Neoplasm of uncertain or unknown behaviour: Brain unspecified,European,flexdmg,Chapter II Neoplasms,0.003,241439,31,3,0.0967741935483871,241408,2260,0.00936174443266172,11.3376,3.4443,37.3201
40002#Block C60-C63#C60-C63 Malignant neoplasms of male genital organs,European,flexdmg,Chapter II Neoplasms,0.0176,156087,340,8,0.0235294117647059,155747,1483,0.00952185274836754,2.5065,1.2408,5.0634
40002#C32#Malignant neoplasm of larynx,European,flexdmg,Chapter II Neoplasms,0.037,184621,32,2,0.0625,184589,1749,0.00947510415030148,6.9693,1.6642,29.1855
40002#C61#Malignant neoplasm of prostate,European,flexdmg,Chapter II Neoplasms,0.0165,156083,336,8,0.0238095238095238,155747,1483,0.00952185274836754,2.5371,1.2558,5.1256
40002#C782#Secondary malignant neoplasm of pleura,European,flexdmg,Chapter II Neoplasms,0.0644,247955,44,2,0.0454545454545455,247911,2328,0.00939046674008011,5.0234,1.2153,20.7643
40002#C787#Secondary malignant neoplasm of liver and intrahepatic bile duct,European,flexdmg,Chapter II Neoplasms,0.0853,306073,608,10,0.0164473684210526,305465,2855,0.00934640629859395,1.7725,0.9477,3.3149
40002#C797#Secondary malignant neoplasm of adrenal gland,European,flexdmg,Chapter II Neoplasms,0.0564,341721,41,2,0.0487804878048781,341680,3195,0.00935085460079607,5.4329,1.3113,22.5093
40006#Block C76-C80#C76-C80 Malignant neoplasms of ill-defined secondary and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0399,307793,928,15,0.0161637931034483,306865,2880,0.00938523454939468,1.7341,1.0397,2.8922
40006#Block D00-D09#D00-D09 In situ neoplasms,European,flexdmg,Chapter II Neoplasms,0.0652,278305,14165,111,0.00783621602541476,264140,2473,0.00936245930188536,0.8357,0.6905,1.0115
40006#C021#Malignant neoplasm: Border of tongue,European,flexdmg,Chapter II Neoplasms,0.0426,281293,139,4,0.0287769784172662,281154,2633,0.00936497435569119,3.1342,1.1586,8.4786
40006#C09#Malignant neoplasm of tonsil,European,flexdmg,Chapter II Neoplasms,0.0559,217952,373,0,0,217579,2063,0.00948161357483948,0,,
40006#C099#Malignant neoplasm: Tonsil unspecified,European,flexdmg,Chapter II Neoplasms,0.0819,221585,331,0,0,221254,2052,0.00927440859826263,0,,
40006#C163#Malignant neoplasm: Pyloric antrum,European,flexdmg,Chapter II Neoplasms,0.0197,341741,61,3,0.0491803278688525,341680,3195,0.00935085460079607,5.4798,1.7161,17.498
40006#C23#Malignant neoplasm of gallbladder,European,flexdmg,Chapter II Neoplasms,0.0464,281979,144,4,0.0277777777777778,281835,2622,0.00930331576986535,3.0425,1.1253,8.2263
40006#C250#Malignant neoplasm: Head of pancreas,European,flexdmg,Chapter II Neoplasms,0.0502,269224,583,1,0.00171526586620926,268641,2500,0.00930609996240336,0.1829,0.0257,1.3013
40006#C252#Malignant neoplasm: Tail of pancreas,European,flexdmg,Chapter II Neoplasms,0.0382,292221,195,5,0.0256410256410256,292026,2746,0.00940327231136954,2.7723,1.1398,6.7427
40006#C41#Malignant neoplasm of bone and articular cartilage of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0686,233666,45,2,0.0444444444444444,233621,2224,0.00951969215096246,4.8393,1.1716,19.989
40006#C508#Malignant neoplasm: Overlapping lesion of breast,European,flexdmg,Chapter II Neoplasms,0.0673,187612,1416,20,0.0141242937853107,186196,1713,0.0091999828138091,1.5429,0.9898,2.4052
40006#C678#Malignant neoplasm: Overlapping lesion of bladder,European,flexdmg,Chapter II Neoplasms,0.0411,211850,34,2,0.0588235294117647,211816,2002,0.00945159950145409,6.5501,1.5687,27.3508
40006#C77#Secondary and unspecified malignant neoplasm of lymph nodes,European,flexdmg,Chapter II Neoplasms,0.0872,255429,177,4,0.0225988700564972,255252,2400,0.00940247285035964,2.436,0.9033,6.5694
40006#C79#Secondary malignant neoplasm of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0158,341782,102,4,0.0392156862745098,341680,3195,0.00935085460079607,4.3242,1.5901,11.7591
40006#C844#Peripheral T-cell lymphoma not elsewhere classified,European,flexdmg,Chapter II Neoplasms,0.0949,247992,113,3,0.0265486725663717,247879,2370,0.00956111651249198,2.8252,0.8967,8.9015
40006#D00#Carcinoma in situ of oral cavity oesophagus and stomach,European,flexdmg,Chapter II Neoplasms,0.0583,228479,151,4,0.0264900662251656,228328,2186,0.00957394625275919,2.815,1.0417,7.6071
40006#D000#Carcinoma in situ: Lip oral cavity and pharynx,European,flexdmg,Chapter II Neoplasms,0.0341,262012,74,3,0.0405405405405405,261938,2497,0.00953279020226161,4.3902,1.3819,13.9476
40006#D06#Carcinoma in situ of cervix uteri,European,flexdmg,Chapter II Neoplasms,0.0865,189778,3845,25,0.00650195058517555,185933,1712,0.00920761779780889,0.7042,0.4739,1.0465
40006#D072#Carcinoma in situ: Vagina,European,flexdmg,Chapter II Neoplasms,0.0413,185968,35,2,0.0571428571428571,185933,1712,0.00920761779780889,6.5216,1.5636,27.2
40006#D074#Carcinoma in situ: Penis,European,flexdmg,Chapter II Neoplasms,0.0244,155812,65,3,0.0461538461538462,155747,1483,0.00952185274836754,5.0333,1.5782,16.0525
40006#D374#Neoplasm of uncertain or unknown behaviour: Colon,European,flexdmg,Chapter II Neoplasms,0.0995,341798,118,3,0.0254237288135593,341680,3195,0.00935085460079607,2.7637,0.8779,8.7004
40006#D43#Neoplasm of uncertain or unknown behaviour of brain and central nervous system,European,flexdmg,Chapter II Neoplasms,0.0191,341788,108,4,0.037037037037037,341680,3195,0.00935085460079607,4.0747,1.5001,11.0682
40006#D432#Neoplasm of uncertain or unknown behaviour: Brain unspecified,European,flexdmg,Chapter II Neoplasms,0.0771,341729,49,2,0.0408163265306122,341680,3195,0.00935085460079607,4.5082,1.0946,18.5678
40011#8091#Multifocal superficial basal cell carcinoma,European,flexdmg,Chapter II Neoplasms,0.0493,459449,478,9,0.0188284518828452,458971,4288,0.00934263820589972,2.0348,1.0514,3.9379
40011#8401#Apocrine adenocarcinoma,European,flexdmg,Chapter II Neoplasms,0.0375,265274,33,2,0.0606060606060606,265241,2457,0.0092632737774326,6.9002,1.6505,28.848
40011#8541#Paget disease and infiltrating duct carcinoma,European,flexdmg,Chapter II Neoplasms,0.0436,249197,36,2,0.0555555555555556,249161,2299,0.00922696569687873,6.3164,1.5166,26.3072
40011#8560#Adenosquamous carcinoma,European,flexdmg,Chapter II Neoplasms,0.0566,390157,155,4,0.0258064516129032,390002,3603,0.00923841416197866,2.8409,1.052,7.6718
40011#8950#Mullerian mixed tumor,European,flexdmg,Chapter II Neoplasms,0.0436,249197,36,2,0.0555555555555556,249161,2299,0.00922696569687873,6.3164,1.5166,26.3072
40011#9051#Fibrous mesothelioma| malignant,European,flexdmg,Chapter II Neoplasms,0.0522,227773,39,2,0.0512820512820513,227734,2142,0.00940571017063767,5.6929,1.3712,23.6354
40011#9161#Hemangioblastoma,European,flexdmg,Chapter II Neoplasms,0.0665,459449,45,2,0.0444444444444444,459404,4295,0.00934906966417358,4.9285,1.1935,20.3513
41202#Block C76-C80#C76-C80 Malignant neoplasms of ill-defined secondary and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0463,320745,9994,114,0.0114068441064639,310751,2928,0.00942233492410322,1.213,1.005,1.4642
41202#C02#Malignant neoplasm of other and unspecified parts of tongue,European,flexdmg,Chapter II Neoplasms,0.0519,234708,351,7,0.0199430199430199,234357,2219,0.00946846051110058,2.1288,1.0061,4.5042
41202#C029#Malignant neoplasm: Tongue unspecified,European,flexdmg,Chapter II Neoplasms,0.0359,232929,191,5,0.0261780104712042,232738,2195,0.0094312059053528,2.8234,1.1603,6.8701
41202#C09#Malignant neoplasm of tonsil,European,flexdmg,Chapter II Neoplasms,0.0598,196514,397,0,0,196117,1857,0.00946883747966775,0,,
41202#C099#Malignant neoplasm: Tonsil unspecified,European,flexdmg,Chapter II Neoplasms,0.056,198330,375,0,0,197955,1872,0.00945669470334167,0,,
41202#C11#Malignant neoplasm of nasopharynx,European,flexdmg,Chapter II Neoplasms,0.0986,236592,55,2,0.0363636363636364,236537,2277,0.00962640094361559,3.8823,0.9455,15.9406
41202#C155#Malignant neoplasm: Lower third of oesophagus,European,flexdmg,Chapter II Neoplasms,0.0227,189896,1032,3,0.00290697674418605,188864,1783,0.00944065570992884,0.3059,0.0984,0.951
41202#C211#Malignant neoplasm: Anal canal,European,flexdmg,Chapter II Neoplasms,0.0282,249647,183,5,0.0273224043715847,249464,2300,0.00921976718083571,3.0186,1.24,7.3486
41202#C252#Malignant neoplasm: Tail of pancreas,European,flexdmg,Chapter II Neoplasms,0.0898,318164,179,4,0.0223463687150838,317985,2989,0.00939981445665676,2.4088,0.8935,6.4943
41202#C434#Malignant neoplasm: Malignant melanoma of scalp and neck,European,flexdmg,Chapter II Neoplasms,0.0728,205998,235,5,0.0212765957446809,205763,1934,0.00939916311484572,2.2911,0.9436,5.5633
41202#C713#Malignant neoplasm: Parietal lobe,European,flexdmg,Chapter II Neoplasms,0.0661,245389,161,4,0.0248447204968944,245228,2299,0.00937494902702791,2.6922,0.9971,7.2689
41202#C718#Malignant neoplasm: Overlapping lesion of brain,European,flexdmg,Chapter II Neoplasms,0.0553,236101,92,3,0.0326086956521739,236009,2200,0.00932167841056909,3.5824,1.1329,11.3284
41202#C772#Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes,European,flexdmg,Chapter II Neoplasms,0.048,318193,208,5,0.0240384615384615,317985,2989,0.00939981445665676,2.5957,1.0681,6.3082
41202#C78#Secondary malignant neoplasm of respiratory and digestive organs,European,flexdmg,Chapter II Neoplasms,0.0139,292680,4932,64,0.0129764801297648,287748,2695,0.00936583399363332,1.3906,1.0835,1.7847
41202#C780#Secondary malignant neoplasm of lung,European,flexdmg,Chapter II Neoplasms,0.0452,319147,1162,18,0.0154905335628227,317985,2989,0.00939981445665676,1.6582,1.0395,2.6451
41202#C799#Secondary malignant neoplasm unspecified site,European,flexdmg,Chapter II Neoplasms,0.0323,318015,30,2,0.0666666666666667,317985,2989,0.00939981445665676,7.5275,1.7924,31.6136
41202#C80#Malignant neoplasm without specification of site,European,flexdmg,Chapter II Neoplasms,0.0439,319134,1149,18,0.0156657963446475,317985,2989,0.00939981445665676,1.6772,1.0514,2.6756
41202#C800#Malignant neoplasm primary site unknown so stated,European,flexdmg,Chapter II Neoplasms,0.0402,292702,546,10,0.0183150183150183,292156,2717,0.0092998261202919,1.9875,1.062,3.7194
41202#C865#Angioimmunoblastic T-cell lymphoma,European,flexdmg,Chapter II Neoplasms,0.0726,229130,47,2,0.0425531914893617,229083,2156,0.00941143602973595,4.6779,1.1341,19.2958
41202#D044#Carcinoma in situ: Skin of scalp and neck,European,flexdmg,Chapter II Neoplasms,0.0166,179399,212,6,0.0283018867924528,179187,1700,0.00948729539531328,3.0409,1.3485,6.8572
41202#D046#Carcinoma in situ: Skin of upper limb including shoulder,European,flexdmg,Chapter II Neoplasms,0.0976,263453,252,5,0.0198412698412698,263201,2527,0.00960102735171979,2.0882,0.8608,5.0658
41202#D12#Benign neoplasm of colon rectum anus and anal canal,European,flexdmg,Chapter II Neoplasms,0.0538,285919,27670,232,0.0083845319840983,258249,2474,0.00957990156786667,0.8742,0.7637,1.0007
41202#D125#Benign neoplasm: Sigmoid colon,European,flexdmg,Chapter II Neoplasms,0.0123,272721,8563,59,0.00689010860679668,264158,2517,0.00952838831305506,0.7212,0.5566,0.9344
41202#D131#Benign neoplasm: Stomach,European,flexdmg,Chapter II Neoplasms,0.0267,263635,695,1,0.00143884892086331,262940,2477,0.00942040009127558,0.1515,0.0213,1.0776
41202#D141#Benign neoplasm: Larynx,European,flexdmg,Chapter II Neoplasms,0.0903,185438,109,3,0.0275229357798165,185329,1797,0.00969626987681367,2.8905,0.9167,9.1147
41202#D30#Benign neoplasm of urinary organs,European,flexdmg,Chapter II Neoplasms,0.0818,221014,326,0,0,220688,2062,0.00934350757630682,0,,
41202#D372#Neoplasm of uncertain or unknown behaviour: Small intestine,European,flexdmg,Chapter II Neoplasms,0.0493,241916,86,3,0.0348837209302326,241830,2300,0.00951081338130092,3.7642,1.1888,11.9192
41202#D431#Neoplasm of uncertain or unknown behaviour: Brain infratentorial,European,flexdmg,Chapter II Neoplasms,0.0034,318017,32,3,0.09375,317985,2989,0.00939981445665676,10.9019,3.3191,35.8083
41202#D46#Myelodysplastic syndromes,European,flexdmg,Chapter II Neoplasms,0.0727,234936,561,1,0.0017825311942959,234375,2189,0.00933973333333333,0.1894,0.0266,1.3476
41202#D485#Neoplasm of uncertain or unknown behaviour: Skin,European,flexdmg,Chapter II Neoplasms,0.0769,318224,239,5,0.0209205020920502,317985,2989,0.00939981445665676,2.2518,0.9279,5.4648
Union#Block C76-C80#C76-C80 Malignant neoplasms of ill-defined secondary and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0517,291916,24846,266,0.0107059486436449,267070,2519,0.00943198412401243,1.1365,1.0009,1.2905
Union#C02#Malignant neoplasm of other and unspecified parts of tongue,European,flexdmg,Chapter II Neoplasms,0.0988,202199,478,8,0.0167364016736402,201721,1911,0.00947348069858865,1.7797,0.8835,3.5849
Union#C09#Malignant neoplasm of tonsil,European,flexdmg,Chapter II Neoplasms,0.0173,179702,492,0,0,179210,1706,0.0095195580603761,0,,
Union#C099#Malignant neoplasm: Tonsil unspecified,European,flexdmg,Chapter II Neoplasms,0.0261,178948,464,0,0,178484,1691,0.0094742385872123,0,,
Union#C166#Malignant neoplasm: Greater curvature of stomach unspecified,European,flexdmg,Chapter II Neoplasms,0.0981,273838,56,2,0.0357142857142857,273782,2580,0.00942355596788686,3.8932,0.9487,15.9767
Union#C23#Malignant neoplasm of gallbladder,European,flexdmg,Chapter II Neoplasms,0.0206,214340,224,6,0.0267857142857143,214116,2021,0.00943880886995834,2.8884,1.282,6.5077
Union#C250#Malignant neoplasm: Head of pancreas,European,flexdmg,Chapter II Neoplasms,0.0215,244278,881,2,0.00227014755959137,243397,2310,0.00949066751028156,0.2375,0.0593,0.9516
Union#C252#Malignant neoplasm: Tail of pancreas,European,flexdmg,Chapter II Neoplasms,0.0673,234553,300,6,0.02,234253,2212,0.00944278194943074,2.1408,0.953,4.8094
Union#C440#Malignant neoplasm: Skin of lip,European,flexdmg,Chapter II Neoplasms,0.0997,217258,1018,15,0.0147347740667976,216240,2033,0.00940159082500925,1.5757,0.9446,2.6286
Union#C499#Malignant neoplasm: Connective and soft tissue unspecified,European,flexdmg,Chapter II Neoplasms,0.0727,274217,435,8,0.0183908045977012,273782,2580,0.00942355596788686,1.9694,0.9775,3.9679
Union#C500#Malignant neoplasm: Nipple and areola,European,flexdmg,Chapter II Neoplasms,0.0935,150197,372,7,0.0188172043010753,149825,1404,0.00937093275488069,2.0274,0.9579,4.2908
Union#C510#Malignant neoplasm: Labium majus,European,flexdmg,Chapter II Neoplasms,0.0607,143424,43,2,0.0465116279069768,143381,1331,0.00928295938792448,5.2061,1.2579,21.5458
Union#C678#Malignant neoplasm: Overlapping lesion of bladder,European,flexdmg,Chapter II Neoplasms,0.0644,179318,158,4,0.0253164556962025,179160,1696,0.00946639874972092,2.7178,1.0061,7.3422
Union#C77#Secondary and unspecified malignant neoplasm of lymph nodes,European,flexdmg,Chapter II Neoplasms,0.0735,255539,12588,139,0.0110422624721957,242951,2293,0.0094381171511951,1.1719,0.9865,1.392
Union#C773#Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes,European,flexdmg,Chapter II Neoplasms,0.0836,158064,4127,49,0.0118730312575721,153937,1418,0.00921156057348136,1.2924,0.9705,1.7211
Union#C778#Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions,European,flexdmg,Chapter II Neoplasms,0.0668,274082,300,6,0.02,273782,2580,0.00942355596788686,2.1452,0.9551,4.8186
Union#C78#Secondary malignant neoplasm of respiratory and digestive organs,European,flexdmg,Chapter II Neoplasms,0.0722,286890,13108,144,0.010985657613671,273782,2580,0.00942355596788686,1.1676,0.9863,1.3822
Union#C800#Malignant neoplasm primary site unknown so stated,European,flexdmg,Chapter II Neoplasms,0.0511,275194,1412,21,0.0148725212464589,273782,2580,0.00942355596788686,1.587,1.0296,2.4461
Union#C81#Hodgkin lymphoma,European,flexdmg,Chapter II Neoplasms,0.0558,240618,756,2,0.00264550264550265,239862,2263,0.00943459155681183,0.2785,0.0695,1.1163
Union#C82#Follicular lymphoma,European,flexdmg,Chapter II Neoplasms,0.0684,257153,1605,8,0.00498442367601246,255548,2421,0.00947375835459483,0.5238,0.2612,1.0503
Union#C859#Non-Hodgkin lymphoma unspecified,European,flexdmg,Chapter II Neoplasms,0.0468,237802,2756,16,0.0058055152394775,235046,2227,0.00947474111450525,0.6105,0.3728,0.9997
Union#C865#Angioimmunoblastic T-cell lymphoma,European,flexdmg,Chapter II Neoplasms,0.0894,273835,53,2,0.0377358490566038,273782,2580,0.00942355596788686,4.1222,1.003,16.9416
Union#C921#Chronic myeloid leukaemia [CML] BCR/ABL-positive,European,flexdmg,Chapter II Neoplasms,0.0826,225325,333,0,0,224992,2119,0.00941811264400512,0,,
Union#D00#Carcinoma in situ of oral cavity oesophagus and stomach,European,flexdmg,Chapter II Neoplasms,0.0749,193042,241,5,0.020746887966805,192801,1782,0.00924269064994476,2.2711,0.9354,5.5138
Union#D000#Carcinoma in situ: Lip oral cavity and pharynx,European,flexdmg,Chapter II Neoplasms,0.0354,208455,131,4,0.0305343511450382,208324,1950,0.00936041934678674,3.3333,1.2308,9.0275
Union#D02#Carcinoma in situ of middle ear and respiratory system,European,flexdmg,Chapter II Neoplasms,0.0847,179216,173,4,0.023121387283237,179043,1704,0.00951726680182973,2.4632,0.9128,6.6469
Union#D022#Carcinoma in situ: Bronchus and lung,European,flexdmg,Chapter II Neoplasms,0.0453,273818,36,2,0.0555555555555556,273782,2580,0.00942355596788686,6.1834,1.4847,25.7516
Union#D05#Carcinoma in situ of breast,European,flexdmg,Chapter II Neoplasms,0.0637,152068,8100,59,0.00728395061728395,143968,1343,0.00932846188041787,0.7792,0.5998,1.0123
Union#D06#Carcinoma in situ of cervix uteri,European,flexdmg,Chapter II Neoplasms,0.0653,150032,6161,43,0.00697938646323649,143871,1334,0.0092721952304495,0.751,0.5537,1.0186
Union#D074#Carcinoma in situ: Penis,European,flexdmg,Chapter II Neoplasms,0.067,130498,97,3,0.0309278350515464,130401,1249,0.00957814740684504,3.3001,1.044,10.4316
Union#D12#Benign neoplasm of colon rectum anus and anal canal,European,flexdmg,Chapter II Neoplasms,0.0416,262940,31381,259,0.00825340173990631,231559,2186,0.00944035861270778,0.8732,0.7673,0.9938
Union#D13#Benign neoplasm of other and ill-defined parts of digestive system,European,flexdmg,Chapter II Neoplasms,0.0421,246723,2178,11,0.00505050505050505,244545,2282,0.00933161585802204,0.5389,0.2976,0.976
Union#D131#Benign neoplasm: Stomach,European,flexdmg,Chapter II Neoplasms,0.0067,226006,1201,3,0.00249791840133222,224805,2156,0.00959053401837148,0.2586,0.0832,0.8036
Union#D141#Benign neoplasm: Larynx,European,flexdmg,Chapter II Neoplasms,0.097,165289,114,3,0.0263157894736842,165175,1580,0.00956561222945361,2.7984,0.888,8.8191
