Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
Union#B971#Enterovirus as the cause of diseases classified to other chapters,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.021,212090,35,2,0.0571428571428571,212055,1350,0.00636627290089835,9.4593,2.2675,39.4607
Union#Block B15-B19#B15-B19 Viral hepatitis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0278,223540,1025,13,0.0126829268292683,222515,1435,0.00644900343797047,1.9791,1.1423,3.4287
Union#Block B90-B94#B90-B94 Sequelae of infectious and parasitic diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0593,295015,423,6,0.0141843971631206,294592,1905,0.00646657071475125,2.2107,0.9862,4.9553
20001#1036#other cancer of urinary tract,European,flexdmg,Chapter II Neoplasms,0.0204,272843,35,2,0.0571428571428571,272808,1708,0.00626081346588077,9.6196,2.3064,40.1213
20001#1041#cervical cancer,European,flexdmg,Chapter II Neoplasms,0.072,217954,3458,32,0.0092539039907461,214496,1422,0.00662949425630315,1.3996,0.9843,1.99
20001#1072#cin|pre-cancer cells cervix,European,flexdmg,Chapter II Neoplasms,0.0872,216087,1579,16,0.0101329955668144,214508,1420,0.00661979972774908,1.5361,0.9361,2.5207
40001#Block C73-C75#C73-C75 Malignant neoplasms of thyroid and other endocrine glands,European,flexdmg,Chapter II Neoplasms,0.0688,341747,67,2,0.0298507462686567,341680,2184,0.00639194568016858,4.783,1.1704,19.5462
40001#C18#Malignant neoplasm of colon,European,flexdmg,Chapter II Neoplasms,0.0758,285503,1072,2,0.00186567164179104,284431,1754,0.00616669772282206,0.3012,0.0752,1.207
40001#C73#Malignant neoplasm of thyroid gland,European,flexdmg,Chapter II Neoplasms,0.0311,341723,43,2,0.0465116279069768,341680,2184,0.00639194568016858,7.5828,1.8329,31.3694
40001#C85#Other and unspecified types of non-Hodgkin lymphoma,European,flexdmg,Chapter II Neoplasms,0.0854,275567,364,5,0.0137362637362637,275203,1752,0.00636620967067946,2.1738,0.8982,5.2612
40001#C859#Non-Hodgkin lymphoma unspecified,European,flexdmg,Chapter II Neoplasms,0.0761,277256,249,4,0.0160642570281124,277007,1761,0.00635724006974553,2.5519,0.9491,6.8613
40002#Block C00-C14#C00-C14 Malignant neoplasms of lip oral cavity and pharynx,European,flexdmg,Chapter II Neoplasms,0.0823,205005,75,2,0.0266666666666667,204930,1297,0.0063289903869614,4.3015,1.0545,17.5455
40002#Block C51-C58#C51-C58 Malignant neoplasms of female genital organs,European,flexdmg,Chapter II Neoplasms,0.0773,186003,70,2,0.0285714285714286,185933,1216,0.00653999021152781,4.4678,1.0937,18.2505
40002#Block C64-C68#C64-C68 Malignant neoplasms of urinary tract,European,flexdmg,Chapter II Neoplasms,0.0444,201268,213,4,0.0187793427230047,201055,1242,0.00617741414040934,3.079,1.1431,8.2939
40002#D47#Other neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue,European,flexdmg,Chapter II Neoplasms,0.092,239691,80,2,0.025,239611,1519,0.0063394418453243,4.019,0.9866,16.3714
40006#Block C00-C14#C00-C14 Malignant neoplasms of lip oral cavity and pharynx,European,flexdmg,Chapter II Neoplasms,0.0067,243086,1634,20,0.0122399020807834,241452,1518,0.006286963868595,1.9586,1.2566,3.0529
40006#Block C73-C75#C73-C75 Malignant neoplasms of thyroid and other endocrine glands,European,flexdmg,Chapter II Neoplasms,0.0787,256155,839,10,0.0119189511323004,255316,1667,0.0065291638596876,1.8355,0.9821,3.4304
40006#C02#Malignant neoplasm of other and unspecified parts of tongue,European,flexdmg,Chapter II Neoplasms,0.0457,257883,301,5,0.0166112956810631,257582,1647,0.0063940803317002,2.6249,1.0831,6.3616
40006#C09#Malignant neoplasm of tonsil,European,flexdmg,Chapter II Neoplasms,0.0113,217952,373,7,0.0187667560321716,217579,1397,0.0064206564052597,2.9596,1.3984,6.2638
40006#C099#Malignant neoplasm: Tonsil unspecified,European,flexdmg,Chapter II Neoplasms,0.0056,221585,331,7,0.0211480362537764,221254,1397,0.00631401014218952,3.4001,1.6051,7.2025
40006#C341#Malignant neoplasm: Upper lobe bronchus or lung,European,flexdmg,Chapter II Neoplasms,0.0945,315985,2402,22,0.00915903413821815,313583,2006,0.00639703045126809,1.4358,0.9414,2.1897
40006#C434#Malignant neoplasm: Malignant melanoma of scalp and neck,European,flexdmg,Chapter II Neoplasms,0.0538,207263,222,4,0.018018018018018,207041,1309,0.00632241923097358,2.8838,1.0711,7.7644
40006#C52#Malignant neoplasm of vagina,European,flexdmg,Chapter II Neoplasms,0.0338,185977,44,2,0.0454545454545455,185933,1216,0.00653999021152781,7.2336,1.749,29.9162
40006#C62#Malignant neoplasm of testis,European,flexdmg,Chapter II Neoplasms,0.0561,156318,571,0,0,155747,968,0.00621520799758583,0,,
40006#C73#Malignant neoplasm of thyroid gland,European,flexdmg,Chapter II Neoplasms,0.0375,251056,774,10,0.0129198966408269,250282,1609,0.00642874837183657,2.0229,1.082,3.7822
40006#C787#Secondary malignant neoplasm of liver and intrahepatic bile duct,European,flexdmg,Chapter II Neoplasms,0.0415,341799,119,3,0.0252100840336134,341680,2184,0.00639194568016858,4.0202,1.2769,12.6574
40006#C833#Diffuse large B-cell lymphoma,European,flexdmg,Chapter II Neoplasms,0.0871,283808,1147,12,0.010462074978204,282661,1771,0.00626545579333548,1.6769,0.9477,2.9673
40006#D011#Carcinoma in situ: Rectosigmoid junction,European,flexdmg,Chapter II Neoplasms,0.0179,341712,32,2,0.0625,341680,2184,0.00639194568016858,10.3631,2.475,43.3911
40006#D012#Carcinoma in situ: Rectum,European,flexdmg,Chapter II Neoplasms,0.09,245406,266,4,0.0150375939849624,245140,1549,0.00631883821489761,2.4009,0.8933,6.453
40006#D371#Neoplasm of uncertain or unknown behaviour: Stomach,European,flexdmg,Chapter II Neoplasms,0.0798,341753,73,2,0.0273972602739726,341680,2184,0.00639194568016858,4.3788,1.0734,17.8627
40006#D374#Neoplasm of uncertain or unknown behaviour: Colon,European,flexdmg,Chapter II Neoplasms,0.0406,341798,118,3,0.0254237288135593,341680,2184,0.00639194568016858,4.0551,1.2878,12.7691
40006#D44#Neoplasm of uncertain or unknown behaviour of endocrine glands,European,flexdmg,Chapter II Neoplasms,0.0992,341763,83,2,0.0240963855421687,341680,2184,0.00639194568016858,3.8382,0.9431,15.6202
40011#8041#Small cell carcinoma| NOS,European,flexdmg,Chapter II Neoplasms,0.0963,400929,553,7,0.0126582278481013,400376,2560,0.00639398964972926,1.9923,0.9443,4.2031
40011#8070#Squamous cell carcinoma,European,flexdmg,Chapter II Neoplasms,0.034,405962,11585,93,0.00802762192490289,394377,2526,0.00640503883340053,1.2554,1.0199,1.5453
40011#8090#Basal cell carcinoma| NOS,European,flexdmg,Chapter II Neoplasms,0.0552,404919,30398,167,0.00549378248568985,374521,2399,0.00640551531155796,0.8569,0.7322,1.0028
40011#8092#Infiltrating basal cell carcinoma| NOS,European,flexdmg,Chapter II Neoplasms,0.0646,393549,438,6,0.0136986301369863,393111,2512,0.00639005268232128,2.1596,0.9639,4.8385
40011#8290#Oxyphilic adenocarcinoma,European,flexdmg,Chapter II Neoplasms,0.049,363693,54,2,0.037037037037037,363639,2380,0.00654495254909402,5.8381,1.4212,23.982
40011#8441#Serous cystadenocarcinoma,European,flexdmg,Chapter II Neoplasms,0.0969,249197,535,7,0.0130841121495327,248662,1649,0.00663149174381289,1.9859,0.9406,4.1928
40011#8950#Mullerian mixed tumor,European,flexdmg,Chapter II Neoplasms,0.0239,249197,36,2,0.0555555555555556,249161,1654,0.0066382780611733,8.8024,2.113,36.67
40011#8990#Mesenchymoma| malignant,European,flexdmg,Chapter II Neoplasms,0.0321,459449,185,4,0.0216216216216216,459264,2944,0.00641025641025641,3.4254,1.271,9.2318
40011#9220#Chondrosarcoma| NOS,European,flexdmg,Chapter II Neoplasms,0.0707,297857,68,2,0.0294117647058824,297789,1905,0.00639714697319243,4.7067,1.152,19.23
40011#9680#Malignant lymphoma| large B-cell| diffuse,European,flexdmg,Chapter II Neoplasms,0.0899,381879,1137,12,0.0105540897097625,380742,2436,0.0063980333138976,1.6565,0.9366,2.9298
41202#Block C00-C14#C00-C14 Malignant neoplasms of lip oral cavity and pharynx,European,flexdmg,Chapter II Neoplasms,0.0431,228494,1723,18,0.0104468949506674,226771,1408,0.0062089067826133,1.6898,1.0589,2.6965
41202#C02#Malignant neoplasm of other and unspecified parts of tongue,European,flexdmg,Chapter II Neoplasms,0.0254,234708,351,6,0.0170940170940171,234357,1479,0.00631088467594311,2.7384,1.2198,6.1477
41202#C021#Malignant neoplasm: Border of tongue,European,flexdmg,Chapter II Neoplasms,0.0123,254201,139,4,0.0287769784172662,254062,1612,0.00634490793585818,4.6402,1.7145,12.5582
41202#C06#Malignant neoplasm of other and unspecified parts of mouth,European,flexdmg,Chapter II Neoplasms,0.0458,253439,123,3,0.024390243902439,253316,1630,0.00643465079189629,3.8602,1.2263,12.1511
41202#C060#Malignant neoplasm: Cheek mucosa,European,flexdmg,Chapter II Neoplasms,0.0439,318037,52,2,0.0384615384615385,317985,2031,0.00638709373083636,6.2226,1.5131,25.591
41202#C099#Malignant neoplasm: Tonsil unspecified,European,flexdmg,Chapter II Neoplasms,0.0914,198330,375,5,0.0133333333333333,197955,1249,0.00630951478871461,2.1283,0.8791,5.1526
41202#C153#Malignant neoplasm: Upper third of oesophagus,European,flexdmg,Chapter II Neoplasms,0.012,243780,75,3,0.04,243705,1531,0.00628218542910486,6.5908,2.0743,20.9411
41202#C154#Malignant neoplasm: Middle third of oesophagus,European,flexdmg,Chapter II Neoplasms,0.0482,318197,212,4,0.0188679245283019,317985,2031,0.00638709373083636,2.9916,1.1112,8.054
41202#C16#Malignant neoplasm of stomach,European,flexdmg,Chapter II Neoplasms,0.0291,208894,1244,2,0.00160771704180064,207650,1297,0.00624608716590417,0.2562,0.0639,1.0267
41202#C182#Malignant neoplasm: Ascending colon,European,flexdmg,Chapter II Neoplasms,0.0762,319029,1044,2,0.00191570881226054,317985,2031,0.00638709373083636,0.2986,0.0745,1.1963
41202#C43#Malignant melanoma of skin,European,flexdmg,Chapter II Neoplasms,0.0231,322120,4135,15,0.00362756952841596,317985,2031,0.00638709373083636,0.5664,0.3405,0.9421
41202#C435#Malignant neoplasm: Malignant melanoma of trunk,European,flexdmg,Chapter II Neoplasms,0.0062,220752,1240,1,0.000806451612903226,219512,1393,0.00634589452968403,0.1264,0.0178,0.8985
41202#C443#Malignant neoplasm: Skin of other and unspecified parts of face,European,flexdmg,Chapter II Neoplasms,0.017,288781,12831,61,0.00475411113708986,275950,1777,0.00643957238630187,0.737,0.5706,0.9519
41202#C459#Mesothelioma unspecified,European,flexdmg,Chapter II Neoplasms,0.0257,171413,178,4,0.0224719101123596,171235,1061,0.00619616316757672,3.6871,1.3659,9.9531
41202#C52#Malignant neoplasm of vagina,European,flexdmg,Chapter II Neoplasms,0.0517,171817,55,2,0.0363636363636364,171762,1136,0.00661380282018141,5.6679,1.3796,23.2861
41202#C786#Secondary malignant neoplasm of retroperitoneum and peritoneum,European,flexdmg,Chapter II Neoplasms,0.0213,236241,1294,2,0.00154559505409583,234947,1504,0.00640144372986248,0.2403,0.06,0.9627
41202#C83#Non-follicular lymphoma,European,flexdmg,Chapter II Neoplasms,0.0965,257120,1743,17,0.00975329890992542,255377,1647,0.00644928869866903,1.5174,0.9388,2.4525
41202#D00#Carcinoma in situ of oral cavity oesophagus and stomach,European,flexdmg,Chapter II Neoplasms,0.0205,226739,93,3,0.032258064516129,226646,1405,0.0061990946233333,5.3438,1.6895,16.9022
41202#D000#Carcinoma in situ: Lip oral cavity and pharynx,European,flexdmg,Chapter II Neoplasms,0.0507,238192,57,2,0.0350877192982456,238135,1503,0.00631154597182271,5.7251,1.3952,23.4923
41202#D11#Benign neoplasm of major salivary glands,European,flexdmg,Chapter II Neoplasms,0.0035,295930,739,12,0.0162381596752368,295191,1888,0.00639585895233933,2.5643,1.4469,4.5445
41202#D110#Benign neoplasm: Parotid gland,European,flexdmg,Chapter II Neoplasms,0.0027,295345,628,11,0.017515923566879,294717,1872,0.00635185618746119,2.7889,1.5338,5.0713
41202#D128#Benign neoplasm: Rectum,European,flexdmg,Chapter II Neoplasms,0.0186,264717,4918,45,0.00915006100040667,259799,1649,0.00634721457742332,1.4457,1.0737,1.9466
41202#D129#Benign neoplasm: Anus and anal canal,European,flexdmg,Chapter II Neoplasms,0.0166,318136,151,4,0.0264900662251656,317985,2031,0.00638709373083636,4.2331,1.5663,11.4402
41202#D171#Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,European,flexdmg,Chapter II Neoplasms,0.067,320668,2683,25,0.0093179276928811,317985,2031,0.00638709373083636,1.4632,0.9845,2.1746
41202#D231#Benign neoplasm: Skin of eyelid including canthus,European,flexdmg,Chapter II Neoplasms,0.0168,319550,1565,18,0.0115015974440895,317985,2031,0.00638709373083636,1.8101,1.135,2.8866
41202#D250#Submucous leiomyoma of uterus,European,flexdmg,Chapter II Neoplasms,0.0353,172830,1068,13,0.0121722846441948,171762,1136,0.00661380282018141,1.8508,1.0678,3.208
41202#D329#Benign neoplasm: Meninges unspecified,European,flexdmg,Chapter II Neoplasms,0.0999,249080,171,3,0.0175438596491228,248909,1606,0.00645215721408226,2.7498,0.877,8.6213
41202#D371#Neoplasm of uncertain or unknown behaviour: Stomach,European,flexdmg,Chapter II Neoplasms,0.0386,318182,197,4,0.0203045685279188,317985,2031,0.00638709373083636,3.2242,1.1967,8.6862
Union#Block C00-C14#C00-C14 Malignant neoplasms of lip oral cavity and pharynx,European,flexdmg,Chapter II Neoplasms,0.0599,209164,2261,22,0.00973020787262273,206903,1305,0.00630730342237667,1.548,1.0136,2.3641
Union#Block C73-C75#C73-C75 Malignant neoplasms of thyroid and other endocrine glands,European,flexdmg,Chapter II Neoplasms,0.0796,210622,1080,12,0.0111111111111111,209542,1337,0.00638058241307232,1.7497,0.988,3.0987
Union#Block C76-C80#C76-C80 Malignant neoplasms of ill-defined secondary and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0858,291916,24846,136,0.00547371810351767,267070,1705,0.00638409405773767,0.8566,0.719,1.0206
Union#C021#Malignant neoplasm: Border of tongue,European,flexdmg,Chapter II Neoplasms,0.0404,235157,200,4,0.02,234957,1499,0.00637989078852726,3.1784,1.1795,8.5646
Union#C060#Malignant neoplasm: Cheek mucosa,European,flexdmg,Chapter II Neoplasms,0.0847,273858,76,2,0.0263157894736842,273782,1740,0.00635542146671439,4.2256,1.0365,17.227
Union#C062#Malignant neoplasm: Retromolar area,European,flexdmg,Chapter II Neoplasms,0.0365,201959,48,2,0.0416666666666667,201911,1262,0.00625027858809079,6.9127,1.6762,28.508
Union#C09#Malignant neoplasm of tonsil,European,flexdmg,Chapter II Neoplasms,0.0422,179702,492,7,0.0142276422764228,179210,1152,0.00642821271134423,2.2308,1.0555,4.715
Union#C099#Malignant neoplasm: Tonsil unspecified,European,flexdmg,Chapter II Neoplasms,0.0285,178948,464,7,0.0150862068965517,178484,1115,0.00624705855987091,2.4366,1.1524,5.152
Union#C153#Malignant neoplasm: Upper third of oesophagus,European,flexdmg,Chapter II Neoplasms,0.025,273880,98,3,0.0306122448979592,273782,1740,0.00635542146671439,4.9372,1.5628,15.5975
Union#C16#Malignant neoplasm of stomach,European,flexdmg,Chapter II Neoplasms,0.0546,190134,1622,4,0.00246609124537608,188512,1172,0.00621711084705483,0.3952,0.1479,1.056
Union#C433#Malignant neoplasm: Malignant melanoma of other and unspecified parts of face,European,flexdmg,Chapter II Neoplasms,0.0376,241467,604,0,0,240863,1524,0.00632724826976331,0,,
Union#C434#Malignant neoplasm: Malignant melanoma of scalp and neck,European,flexdmg,Chapter II Neoplasms,0.0572,178345,329,5,0.0151975683890578,178016,1110,0.00623539457127449,2.4595,1.0148,5.9608
Union#C49#Malignant neoplasm of other connective and soft tissue,European,flexdmg,Chapter II Neoplasms,0.072,238278,814,1,0.00122850122850123,237464,1510,0.00635885860593606,0.1922,0.027,1.367
Union#C52#Malignant neoplasm of vagina,European,flexdmg,Chapter II Neoplasms,0.0296,143483,102,3,0.0294117647058824,143381,934,0.00651411274855106,4.6216,1.4627,14.6021
Union#C68#Malignant neoplasm of other and unspecified urinary organs,European,flexdmg,Chapter II Neoplasms,0.0388,166544,199,4,0.0201005025125628,166345,1052,0.00632420571703388,3.223,1.1954,8.69
Union#C73#Malignant neoplasm of thyroid gland,European,flexdmg,Chapter II Neoplasms,0.0294,191430,1045,13,0.0124401913875598,190385,1228,0.00645008797962024,1.9404,1.1196,3.3628
Union#C773#Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes,European,flexdmg,Chapter II Neoplasms,0.0603,158064,4127,17,0.00411921492609644,153937,999,0.00648966785113391,0.6332,0.3917,1.0237
Union#C78#Secondary malignant neoplasm of respiratory and digestive organs,European,flexdmg,Chapter II Neoplasms,0.0797,286890,13108,67,0.00511138236191639,273782,1740,0.00635542146671439,0.8032,0.6289,1.0259
Union#C786#Secondary malignant neoplasm of retroperitoneum and peritoneum,European,flexdmg,Chapter II Neoplasms,0.0222,224389,3794,13,0.00342646283605693,220595,1404,0.00636460481878556,0.5368,0.3106,0.9276
Union#C788#Secondary malignant neoplasm of other and unspecified digestive organs,European,flexdmg,Chapter II Neoplasms,0.0711,274578,796,1,0.00125628140703518,273782,1740,0.00635542146671439,0.1967,0.0277,1.3987
Union#C959#Leukaemia unspecified,European,flexdmg,Chapter II Neoplasms,0.0997,222464,721,1,0.0013869625520111,221743,1402,0.00632263476186396,0.2183,0.0307,1.5528
Union#D00#Carcinoma in situ of oral cavity oesophagus and stomach,European,flexdmg,Chapter II Neoplasms,0.0687,193042,241,4,0.016597510373444,192801,1221,0.00633295470459178,2.6482,0.9842,7.1257
Union#D000#Carcinoma in situ: Lip oral cavity and pharynx,European,flexdmg,Chapter II Neoplasms,0.0493,208455,131,3,0.0229007633587786,208324,1297,0.00622587891937559,3.7411,1.1892,11.769
Union#D011#Carcinoma in situ: Rectosigmoid junction,European,flexdmg,Chapter II Neoplasms,0.0209,273817,35,2,0.0571428571428571,273782,1740,0.00635542146671439,9.4755,2.2719,39.5197
Union#D11#Benign neoplasm of major salivary glands,European,flexdmg,Chapter II Neoplasms,0.007,250652,812,12,0.0147783251231527,249840,1592,0.0063720781300032,2.339,1.3199,4.1449
Union#D110#Benign neoplasm: Parotid gland,European,flexdmg,Chapter II Neoplasms,0.0053,248505,681,11,0.0161527165932452,247824,1587,0.0064037381367422,2.5474,1.4011,4.6316
Union#D128#Benign neoplasm: Rectum,European,flexdmg,Chapter II Neoplasms,0.089,228484,7325,59,0.00805460750853242,221159,1423,0.00643428483579687,1.2539,0.9654,1.6285
Union#D129#Benign neoplasm: Anus and anal canal,European,flexdmg,Chapter II Neoplasms,0.0112,273990,208,5,0.0240384615384615,273782,1740,0.00635542146671439,3.8509,1.5837,9.3635
Union#D222#Melanocytic naevi of ear and external auricular canal,European,flexdmg,Chapter II Neoplasms,0.0806,273940,158,3,0.0189873417721519,273782,1740,0.00635542146671439,3.0261,0.9644,9.4947
Union#D231#Benign neoplasm: Skin of eyelid including canthus,European,flexdmg,Chapter II Neoplasms,0.0087,275472,1690,20,0.0118343195266272,273782,1740,0.00635542146671439,1.8724,1.2018,2.9172
Union#D250#Submucous leiomyoma of uterus,European,flexdmg,Chapter II Neoplasms,0.0898,145050,1669,17,0.0101857399640503,143381,934,0.00651411274855106,1.5694,0.9691,2.5417
Union#D251#Intramural leiomyoma of uterus,European,flexdmg,Chapter II Neoplasms,0.0841,144712,1331,14,0.0105184072126221,143381,934,0.00651411274855106,1.6212,0.9538,2.7558
Union#D294#Benign neoplasm: Scrotum,European,flexdmg,Chapter II Neoplasms,0.0149,130431,30,2,0.0666666666666667,130401,806,0.00618093419528991,11.4848,2.7313,48.2923
130629#Source of report of D53 (Other nutritional anaemias),European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0841,459449,256,4,0.015625,459193,2944,0.00641124755821626,2.4599,0.9155,6.6098
130633#Source of report of D56 (Thalassaemia),European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0832,459449,255,4,0.0156862745098039,459194,2944,0.00641123359625779,2.4697,0.9191,6.6363
20002#1330#iron deficiency anaemia,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0167,276342,2516,7,0.00278219395866455,273826,1772,0.00647126277270968,0.4283,0.2037,0.9008
20002#1449#myeloproliferative disorder,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0806,329328,255,4,0.0156862745098039,329073,2085,0.00633598016245635,2.4993,0.9299,6.7175
40002#D70#Agranulocytosis,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0833,301075,162,3,0.0185185185185185,300913,1892,0.00628753161212709,2.982,0.9507,9.3532
41202#Block D70-D77#D70-D77 Other diseases of blood and blood-forming organs,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0456,419273,2854,10,0.00350385423966363,416419,2691,0.00646224115614321,0.5406,0.2902,1.007
41202#D63#Anaemia in chronic diseases classified elsewhere,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0439,401702,799,10,0.0125156445556946,400903,2598,0.00648037056345301,1.9431,1.0402,3.6299
41202#D638#Anaemia in other chronic diseases classified elsewhere,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.071,377831,449,6,0.0133630289532294,377382,2412,0.00639140181566688,2.1056,0.9399,4.7168
