Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
40002#Block A30-A49#A30-A49 Other bacterial diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0583,346318,1404,4,0.00284900284900285,344914,352,0.00102054425161055,2.7968,1.0424,7.5038
40002#Chapter I#Chapter I Certain infectious and parasitic diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0321,341449,1674,5,0.0029868578255675,339775,351,0.00103303656831727,2.897,1.1967,7.0129
41202#A020#Salmonella enteritis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0936,431271,96,1,0.0104166666666667,431175,440,0.00102046732765119,10.3047,1.4335,74.0768
41202#A491#Streptococcal and enterococcal infection unspecified site,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0952,319733,99,1,0.0101010101010101,319634,322,0.00100740221628488,10.1189,1.4069,72.7776
41202#A81#Atypical virus infections of central nervous system,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0479,431223,48,1,0.0208333333333333,431175,440,0.00102046732765119,20.8286,2.8673,151.3012
41202#A810#Creutzfeldt-Jakob disease,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0381,431213,38,1,0.0263157894736842,431175,440,0.00102046732765119,26.4579,3.6221,193.2654
41202#A87#Viral meningitis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0186,431377,202,2,0.0099009900990099,431175,440,0.00102046732765119,9.7894,2.4238,39.5387
41202#B07#Viral warts,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0915,432210,1035,3,0.00289855072463768,431175,440,0.00102046732765119,2.8458,0.9128,8.8723
41202#Block A80-A89#A80-A89 Viral infections of the central nervous system,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0068,431544,369,3,0.00813008130081301,431175,440,0.00102046732765119,8.0241,2.5661,25.0914
Union#A310#Pulmonary mycobacterial infection,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0826,294675,83,1,0.0120481927710843,294592,305,0.00103533021942212,11.7668,1.6326,84.8079
Union#A37#Whooping cough,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0826,266247,2990,0,0,263257,280,0.00106359944844771,0,,
Union#A499#Bacterial infection unspecified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0576,218434,373,2,0.00536193029490617,218061,224,0.00102723549832386,5.2425,1.2982,21.1708
Union#A81#Atypical virus infections of central nervous system,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.074,294666,74,1,0.0135135135135135,294592,305,0.00103533021942212,13.2175,1.8312,95.4031
Union#A810#Creutzfeldt-Jakob disease,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0536,294645,53,1,0.0188679245283019,294592,305,0.00103533021942212,18.5553,2.557,134.6522
Union#A87#Viral meningitis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0898,295072,480,2,0.00416666666666667,294592,305,0.00103533021942212,4.0371,1.0022,16.263
Union#B019#Varicella without complication,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.08,302778,8186,14,0.0017102369899829,294592,305,0.00103533021942212,1.653,0.967,2.8257
Union#B259#Cytomegaloviral disease unspecified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0243,288269,5124,11,0.00214676034348166,283145,289,0.00102067845097035,2.1056,1.1524,3.8473
Union#B270#Gammaherpesviral mononucleosis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0889,293722,8342,14,0.00167825461520019,285380,301,0.00105473403882543,1.5922,0.9312,2.7221
Union#B349#Viral infection unspecified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0423,295079,11682,20,0.0017120356103407,283397,298,0.00105152842126063,1.6292,1.0356,2.5631
Union#B80#Enterobiasis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0419,246263,717,3,0.00418410041841004,245546,259,0.00105479217743315,3.9792,1.272,12.4484
Union#B82#Unspecified intestinal parasitism,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0855,294678,86,1,0.0116279069767442,294592,305,0.00103533021942212,11.3515,1.5756,81.7805
Union#B957#Other staphylococcus as the cause of diseases classified to other chapters,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0381,229920,1167,4,0.00342759211653813,228753,243,0.00106228115041114,3.2343,1.2021,8.7017
Union#B978#Other viral agents as the cause of diseases classified to other chapters,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0401,271317,713,3,0.00420757363253857,270604,282,0.00104211319862234,4.0504,1.2954,12.6645
Union#Block A80-A89#A80-A89 Viral infections of the central nervous system,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0127,295051,459,3,0.0065359477124183,294592,305,0.00103533021942212,6.3479,2.0284,19.8654
20001#1021#anal cancer,European,flexdmg,Chapter II Neoplasms,0.0688,409303,68,1,0.0147058823529412,409235,428,0.00104585384925532,14.2561,1.9745,102.9279
20001#1027#small cell lung cancer,European,flexdmg,Chapter II Neoplasms,0.0639,409298,63,1,0.0158730158730159,409235,428,0.00104585384925532,15.4058,2.1313,111.3587
40001#C911#Chronic lymphocytic leukaemia of B-cell type,European,flexdmg,Chapter II Neoplasms,0.0935,200627,103,1,0.00970873786407767,200524,190,0.000947517504139155,10.3372,1.4348,74.4747
40001#D43#Neoplasm of uncertain or unknown behaviour of brain and central nervous system,European,flexdmg,Chapter II Neoplasms,0.042,341722,42,1,0.0238095238095238,341680,348,0.00101849683914774,23.9229,3.2815,174.4046
40002#Block C51-C58#C51-C58 Malignant neoplasms of female genital organs,European,flexdmg,Chapter II Neoplasms,0.0726,186003,70,1,0.0142857142857143,185933,199,0.0010702780033668,13.5266,1.8694,97.8758
40002#C64#Malignant neoplasm of kidney except renal pelvis,European,flexdmg,Chapter II Neoplasms,0.0835,220534,92,1,0.0108695652173913,220442,208,0.000943558849946925,11.6354,1.6139,83.8872
40002#C782#Secondary malignant neoplasm of pleura,European,flexdmg,Chapter II Neoplasms,0.0455,247955,44,1,0.0227272727272727,247911,261,0.00105279717317908,22.0663,3.0273,160.8421
40006#Block C50-C50#C50-C50 Malignant neoplasm of breast,European,flexdmg,Chapter II Neoplasms,0.061,204223,17203,10,0.000581293960355752,187020,200,0.00106940434178163,0.5433,0.2878,1.0255
40006#Block D10-D36#D10-D36 Benign neoplasms,European,flexdmg,Chapter II Neoplasms,0.0655,297424,1466,4,0.00272851296043656,295958,301,0.00101703620108259,2.6874,1.0008,7.2168
40006#C20#Malignant neoplasm of rectum,European,flexdmg,Chapter II Neoplasms,0.0494,248213,2499,6,0.00240096038415366,245714,254,0.00103372213223504,2.3258,1.0341,5.231
40006#C50#Malignant neoplasm of breast,European,flexdmg,Chapter II Neoplasms,0.0607,204223,17203,10,0.000581293960355752,187020,199,0.00106405732007272,0.546,0.2893,1.0308
40006#C629#Malignant neoplasm: Testis unspecified,European,flexdmg,Chapter II Neoplasms,0.0693,156191,444,2,0.00450450450450451,155747,149,0.00095667974343005,4.7253,1.1672,19.1297
40006#C679#Malignant neoplasm: Bladder unspecified,European,flexdmg,Chapter II Neoplasms,0.062,203167,1493,4,0.00267916945746818,201674,197,0.000976823983260113,2.7474,1.0196,7.4029
40006#C92#Myeloid leukaemia,European,flexdmg,Chapter II Neoplasms,0.0075,276131,725,4,0.00551724137931034,275406,286,0.00103846684531201,5.3368,1.984,14.3559
40006#C927#Other myeloid leukaemia,European,flexdmg,Chapter II Neoplasms,0.0031,224139,82,2,0.024390243902439,224057,221,0.00098635615044386,25.3208,6.186,103.6438
40006#D032#Melanoma in situ of ear and external auricular canal,European,flexdmg,Chapter II Neoplasms,0.0535,202889,56,1,0.0178571428571429,202833,198,0.000976172516306518,18.6074,2.5623,135.1254
40006#D059#Carcinoma in situ of breast unspecified,European,flexdmg,Chapter II Neoplasms,0.0242,187002,220,2,0.00909090909090909,186782,201,0.0010761208253472,8.5162,2.1019,34.5047
40011#8243#Goblet cell carcinoid (Mucocarcinoid Tumor),European,flexdmg,Chapter II Neoplasms,0.0338,459449,33,1,0.0303030303030303,459416,477,0.00103827467915789,30.0668,4.1001,220.4859
40011#8290#Oxyphilic adenocarcinoma,European,flexdmg,Chapter II Neoplasms,0.0548,363693,54,1,0.0185185185185185,363639,378,0.00103949246367964,18.1322,2.5011,131.455
40011#9061#Seminoma| NOS,European,flexdmg,Chapter II Neoplasms,0.0802,210252,468,2,0.00427350427350427,209784,208,0.000991496014948709,4.3244,1.0711,17.4581
40011#9400#Astrocytoma| NOS,European,flexdmg,Chapter II Neoplasms,0.0693,459449,69,1,0.0144927536231884,459380,477,0.00103835604510427,14.148,1.9604,102.1017
41202#C188#Malignant neoplasm: Overlapping lesion of colon,European,flexdmg,Chapter II Neoplasms,0.0577,318044,59,1,0.0169491525423729,317985,319,0.0010031919744642,17.1693,2.3709,124.3366
41202#C48#Malignant neoplasm of retroperitoneum and peritoneum,European,flexdmg,Chapter II Neoplasms,0.0478,205134,341,2,0.00586510263929619,204793,207,0.00101077673553295,5.8309,1.4427,23.5671
41202#C480#Malignant neoplasm: Retroperitoneum,European,flexdmg,Chapter II Neoplasms,0.0699,318057,72,1,0.0138888888888889,317985,319,0.0010031919744642,14.0256,1.9427,101.2599
41202#C504#Malignant neoplasm: Upper-outer quadrant of breast,European,flexdmg,Chapter II Neoplasms,0.0574,175809,3723,0,0,172086,175,0.00101693339376823,0,,
41202#C710#Malignant neoplasm: Cerebrum except lobes and ventricles,European,flexdmg,Chapter II Neoplasms,0.0699,318057,72,1,0.0138888888888889,317985,319,0.0010031919744642,14.0256,1.9427,101.2599
41202#C75#Malignant neoplasm of other endocrine glands and related structures,European,flexdmg,Chapter II Neoplasms,0.0558,318042,57,1,0.0175438596491228,317985,319,0.0010031919744642,17.7825,2.4541,128.8542
41202#C93#Monocytic leukaemia,European,flexdmg,Chapter II Neoplasms,0.0937,212784,96,1,0.0104166666666667,212688,217,0.0010202738283307,10.3066,1.4305,74.2596
41202#C931#Chronic myelomonocytic leukaemia,European,flexdmg,Chapter II Neoplasms,0.0816,218183,88,1,0.0113636363636364,218095,210,0.000962883147252344,11.9258,1.6534,86.0199
41202#D032#Melanoma in situ of ear and external auricular canal,European,flexdmg,Chapter II Neoplasms,0.0591,167948,62,1,0.0161290322580645,167886,164,0.000976853340957554,16.7655,2.3103,121.6621
41202#D034#Melanoma in situ of scalp and neck,European,flexdmg,Chapter II Neoplasms,0.0935,197923,92,1,0.0108695652173913,197831,210,0.00106151209871052,10.3412,1.4344,74.5537
41202#D09#Carcinoma in situ of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0084,186642,419,3,0.00715990453460621,186223,180,0.000966583075130354,7.4536,2.3718,23.4237
41202#D090#Carcinoma in situ: Bladder,European,flexdmg,Chapter II Neoplasms,0.007,179941,377,3,0.00795755968169761,179564,181,0.00100799714864895,7.9497,2.5287,24.9927
41202#D100#Benign neoplasm: Lip,European,flexdmg,Chapter II Neoplasms,0.0921,318081,96,1,0.0104166666666667,317985,319,0.0010031919744642,10.4823,1.4569,75.417
41202#D14#Benign neoplasm of middle ear and respiratory system,European,flexdmg,Chapter II Neoplasms,0.0071,227269,391,3,0.00767263427109975,226878,222,0.000978499457858408,7.8941,2.5157,24.7714
41202#D140#Benign neoplasm: Middle ear nasal cavity and accessory sinuses,European,flexdmg,Chapter II Neoplasms,0.0015,237970,226,3,0.0132743362831858,237744,228,0.000959014738542298,14.0144,4.4527,44.1087
41202#D16#Benign neoplasm of bone and articular cartilage,European,flexdmg,Chapter II Neoplasms,0.0602,281983,382,2,0.00523560209424084,281601,290,0.00102982588840238,5.1055,1.2661,20.5867
41202#D161#Benign neoplasm: Short bones of upper limb,European,flexdmg,Chapter II Neoplasms,0.0018,245995,63,2,0.0317460317460317,245932,240,0.000975879511409658,33.5645,8.1607,138.0493
41202#D226#Melanocytic naevi of upper limb including shoulder,European,flexdmg,Chapter II Neoplasms,0.0225,254595,593,3,0.00505902192242833,254002,253,0.000996055149172054,5.0998,1.6291,15.9644
41202#D401#Neoplasm of uncertain or unknown behaviour: Testis,European,flexdmg,Chapter II Neoplasms,0.054,146279,56,1,0.0178571428571429,146223,144,0.000984797193327999,18.4443,2.5352,134.1869
41202#D41#Neoplasm of uncertain or unknown behaviour of urinary organs,European,flexdmg,Chapter II Neoplasms,0.0086,208205,1261,5,0.00396510705789056,206944,200,0.000966445028606773,4.1151,1.6913,10.0125
41202#D412#Neoplasm of uncertain or unknown behaviour: Ureter,European,flexdmg,Chapter II Neoplasms,0.0424,186144,42,1,0.0238095238095238,186102,191,0.00102631890038796,23.7404,3.249,173.47
41202#D414#Neoplasm of uncertain or unknown behaviour: Bladder,European,flexdmg,Chapter II Neoplasms,0.0714,204887,972,3,0.00308641975308642,203915,198,0.000970992815633965,3.1854,1.0168,9.9788
41202#D479#Neoplasm of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue unspecified,European,flexdmg,Chapter II Neoplasms,0.0586,318045,60,1,0.0166666666666667,317985,319,0.0010031919744642,16.8783,2.3313,122.1946
Union#C181#Malignant neoplasm: Appendix,European,flexdmg,Chapter II Neoplasms,0.032,241942,268,2,0.00746268656716418,241674,249,0.00103031356289878,7.2901,1.8037,29.4644
Union#C188#Malignant neoplasm: Overlapping lesion of colon,European,flexdmg,Chapter II Neoplasms,0.0901,273874,92,1,0.0108695652173913,273782,280,0.00102271150039082,10.734,1.4906,77.2955
Union#C20#Malignant neoplasm of rectum,European,flexdmg,Chapter II Neoplasms,0.0982,214976,3538,7,0.00197851893725269,211438,212,0.00100265798957614,1.9752,0.9296,4.1969
Union#C227#Malignant neoplasm: Other specified carcinomas of liver,European,flexdmg,Chapter II Neoplasms,0.051,273833,51,1,0.0196078431372549,273782,280,0.00102271150039082,19.5359,2.6893,141.9139
Union#C24#Malignant neoplasm of other and unspecified parts of biliary tract,European,flexdmg,Chapter II Neoplasms,0.0852,242565,466,2,0.00429184549356223,242099,250,0.00103263540948125,4.1698,1.034,16.8157
Union#C480#Malignant neoplasm: Retroperitoneum,European,flexdmg,Chapter II Neoplasms,0.0948,273879,97,1,0.0103092783505155,273782,280,0.00102271150039082,10.1749,1.4138,73.2289
Union#C496#Malignant neoplasm: Connective and soft tissue of trunk unspecified,European,flexdmg,Chapter II Neoplasms,0.052,273834,52,1,0.0192307692307692,273782,280,0.00102271150039082,19.1528,2.6376,139.0784
Union#C673#Malignant neoplasm: Anterior wall of bladder,European,flexdmg,Chapter II Neoplasms,0.0136,183359,177,2,0.0112994350282486,183182,180,0.000982629297638414,11.6192,2.861,47.1873
Union#C675#Malignant neoplasm: Bladder neck,European,flexdmg,Chapter II Neoplasms,0.0299,151326,278,2,0.00719424460431655,151048,144,0.000953339335840263,7.5938,1.8717,30.81
Union#C676#Malignant neoplasm: Ureteric orifice,European,flexdmg,Chapter II Neoplasms,0.0422,187773,322,2,0.0062111801242236,187451,187,0.000997594037908573,6.2588,1.5471,25.3207
Union#C751#Malignant neoplasm: Pituitary gland,European,flexdmg,Chapter II Neoplasms,0.0323,273814,32,1,0.03125,273782,280,0.00102271150039082,31.5094,4.2865,231.6192
Union#C92#Myeloid leukaemia,European,flexdmg,Chapter II Neoplasms,0.0281,229669,1106,4,0.00361663652802893,228563,232,0.00101503742950521,3.5724,1.3272,9.6158
Union#C927#Other myeloid leukaemia,European,flexdmg,Chapter II Neoplasms,0.0037,186377,90,2,0.0222222222222222,186287,184,0.000987723244241412,22.987,5.6176,94.0622
Union#C93#Monocytic leukaemia,European,flexdmg,Chapter II Neoplasms,0.0086,197765,147,2,0.0136054421768707,197618,184,0.00093108927324434,14.8001,3.639,60.1932
Union#C931#Chronic myelomonocytic leukaemia,European,flexdmg,Chapter II Neoplasms,0.0073,198084,126,2,0.0158730158730159,197958,197,0.00099516058962002,16.1913,3.9767,65.9243
Union#D022#Carcinoma in situ: Bronchus and lung,European,flexdmg,Chapter II Neoplasms,0.0363,273818,36,1,0.0277777777777778,273782,280,0.00102271150039082,27.9084,3.8102,204.4209
Union#D032#Melanoma in situ of ear and external auricular canal,European,flexdmg,Chapter II Neoplasms,0.0836,160858,90,1,0.0111111111111111,160768,155,0.000964122213375796,11.6428,1.6119,84.0957
Union#D09#Carcinoma in situ of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0268,204570,2285,6,0.00262582056892779,202285,196,0.000968929975035223,2.7145,1.2035,6.1226
Union#D090#Carcinoma in situ: Bladder,European,flexdmg,Chapter II Neoplasms,0.0111,172439,1798,6,0.00333704115684093,170641,171,0.00100210383202161,3.3378,1.4768,7.5439
Union#D14#Benign neoplasm of middle ear and respiratory system,European,flexdmg,Chapter II Neoplasms,0.0121,207263,452,3,0.00663716814159292,206811,213,0.00102992587434904,6.4807,2.0658,20.3307
Union#D140#Benign neoplasm: Middle ear nasal cavity and accessory sinuses,European,flexdmg,Chapter II Neoplasms,0.0024,215379,259,3,0.0115830115830116,215120,215,0.000999442171811082,11.7136,3.7236,36.8478
Union#D16#Benign neoplasm of bone and articular cartilage,European,flexdmg,Chapter II Neoplasms,0.0866,241476,474,2,0.00421940928270042,241002,247,0.00102488776026755,4.1302,1.0241,16.656
Union#D161#Benign neoplasm: Short bones of upper limb,European,flexdmg,Chapter II Neoplasms,0.0022,210358,66,2,0.0303030303030303,210292,216,0.00102714321039317,30.3929,7.3926,124.9532
Union#D226#Melanocytic naevi of upper limb including shoulder,European,flexdmg,Chapter II Neoplasms,0.0535,216278,804,3,0.00373134328358209,215474,224,0.0010395685790397,3.599,1.1496,11.2676
Union#D40#Neoplasm of uncertain or unknown behaviour of male genital organs,European,flexdmg,Chapter II Neoplasms,0.0801,274236,454,2,0.00440528634361234,273782,280,0.00102271150039082,4.3221,1.0723,17.4208
Union#D401#Neoplasm of uncertain or unknown behaviour: Testis,European,flexdmg,Chapter II Neoplasms,0.0777,130484,83,1,0.0120481927710843,130401,126,0.000966250258817034,12.6089,1.7415,91.2899
Union#D41#Neoplasm of uncertain or unknown behaviour of urinary organs,European,flexdmg,Chapter II Neoplasms,0.013,207688,2463,7,0.00284206252537556,205225,202,0.00098428554026069,2.8928,1.3602,6.1522
Union#D412#Neoplasm of uncertain or unknown behaviour: Ureter,European,flexdmg,Chapter II Neoplasms,0.0778,177694,79,1,0.0126582278481013,177615,181,0.00101905807504997,12.5679,1.7389,90.8355
130639#Source of report of D59 (Acquired haemolytic anaemia),European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.055,459449,361,2,0.00554016620498615,459088,476,0.0010368382532325,5.3675,1.3333,21.6078
130667#Source of report of D73 (Diseases of spleen),European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0562,391742,1362,4,0.00293685756240822,390380,406,0.00104001229571187,2.8292,1.0552,7.5857
20002#1377#polymyalgia rheumatica,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0795,264699,950,3,0.00315789473684211,263749,275,0.00104265798164164,3.0351,0.9711,9.4859
20002#1385#allergy or anaphylactic reaction to food,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0224,372007,2050,6,0.00292682926829268,369957,385,0.00104066148228037,2.8178,1.2566,6.3186
Union#Block D55-D59#D55-D59 Haemolytic anaemias,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0434,358360,714,3,0.00420168067226891,357646,385,0.00107648345011548,3.9154,1.2542,12.2228
Union#D59#Acquired haemolytic anaemia,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0588,358007,361,2,0.00554016620498615,357646,385,0.00107648345011548,5.1696,1.2833,20.8255
Union#D591#Other autoimmune haemolytic anaemias,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0255,357873,227,2,0.00881057268722467,357646,385,0.00107648345011548,8.2485,2.0429,33.3042
Union#D599#Acquired haemolytic anaemia unspecified,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0597,357703,57,1,0.0175438596491228,357646,385,0.00107648345011548,16.5705,2.288,120.0098
Union#D73#Diseases of spleen,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0594,313064,1362,4,0.00293685756240822,311702,330,0.00105870350527106,2.7792,1.0354,7.4599
Union#D730#Hyposplenism,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.061,316473,817,3,0.00367197062423501,315656,342,0.00108345794155663,3.3979,1.0882,10.6101
Union#D860#Sarcoidosis of lung,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0013,358075,429,4,0.00932400932400932,357646,385,0.00107648345011548,8.7337,3.2463,23.4963
130697#Source of report of E03 (Other hypothyroidism),European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0888,309740,36912,29,0.000785652362375379,272828,302,0.0011069245092146,0.7095,0.4846,1.0388
130775#Source of report of E55 (Vitamin D deficiency),European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0678,387647,6003,11,0.00183241712477095,381644,396,0.00103761620777478,1.7674,0.9703,3.2193
20002#1220#diabetes,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0634,286658,21548,32,0.00148505661778355,265110,273,0.00102976123118705,1.4428,1.0001,2.0815
20002#1222#type 1 diabetes,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0633,364983,389,2,0.0051413881748072,364594,380,0.00104225522087582,4.9533,1.2299,19.9492
20002#1223#type 2 diabetes,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0015,278097,2939,10,0.00340251786321878,275158,288,0.00104667136699642,3.2585,1.7328,6.1275
20002#1226#hypothyroidism|myxoedema,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0876,254291,22366,16,0.000715371546096754,231925,258,0.00111242858682764,0.6428,0.3879,1.0653
2443#Diabetes diagnosed by doctor,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0532,340308,22110,33,0.00149253731343284,318198,328,0.00103080471907429,1.4486,1.0125,2.0726
41202#E059#Thyrotoxicosis unspecified,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0638,312968,395,2,0.00506329113924051,312573,322,0.00103015935477472,4.935,1.2246,19.8875
41202#E105#Type 1 diabetes mellitus With peripheral circulatory complications,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0954,253456,100,1,0.01,253356,253,0.000998594862564928,10.1051,1.404,72.7312
41202#E149#Unspecified diabetes mellitus Without complications,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0976,355688,100,1,0.01,355588,364,0.00102365659133604,9.8575,1.3712,70.8655
41202#E237#Disorder of pituitary gland unspecified,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.043,442498,42,1,0.0238095238095238,442456,462,0.00104417162384508,23.3341,3.2029,169.9952
41202#E55#Vitamin D deficiency,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0707,442526,70,1,0.0142857142857143,442456,462,0.00104417162384508,13.8652,1.9215,100.0469
41202#E559#Vitamin D deficiency unspecified,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0687,442524,68,1,0.0147058823529412,442456,462,0.00104417162384508,14.2791,1.9781,103.0767
Union#Block E00-E07#E00-E07 Disorders of thyroid gland,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0692,211924,33746,26,0.000770461684347775,178178,200,0.00112247303258539,0.6862,0.4559,1.0326
Union#E103#Type 1 diabetes mellitus With ophthalmic complications,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0675,194958,885,3,0.00338983050847458,194073,202,0.00104084545506072,3.2645,1.0421,10.2266
Union#E106#Type 1 diabetes mellitus With other specified complications,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0713,185459,71,1,0.0140845070422535,185388,192,0.00103566573888278,13.7795,1.9044,99.7031
Union#E14#Unspecified diabetes mellitus,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0693,215045,30094,42,0.00139562703528943,184951,187,0.00101107861001022,1.3809,0.9879,1.9302
Union#E237#Disorder of pituitary gland unspecified,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0749,252994,74,1,0.0135135135135135,252920,265,0.00104776213822553,13.0605,1.8086,94.3153
Union#E55#Vitamin D deficiency,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0674,224785,6003,11,0.00183241712477095,218782,226,0.00103299174520756,1.7753,0.9688,3.2534
Union#E559#Vitamin D deficiency unspecified,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0549,226580,5339,11,0.00206031091964787,221241,240,0.00108478988975823,1.9011,1.0382,3.4813
Union#E782#Mixed hyperlipidaemia,European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0608,175252,408,2,0.00490196078431373,174844,169,0.000966575919105031,5.0915,1.2587,20.5957
41202#F009#Dementia in Alzheimer disease unspecified,European,flexdmg,Chapter V Mental and behavioural disorders,0.0705,450361,70,1,0.0142857142857143,450291,469,0.00104154868740437,13.9001,1.9264,100.296
