Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
Union#Block B20-B24#B20-B24 Human immunodeficiency virus [HIV] disease,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0271,137598,166,3,0.0180722891566265,137432,529,0.00384917631992549,4.7631,1.5155,14.9702
Union#Block B35-B49#B35-B49 Mycoses,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0476,288354,8095,21,0.00259419394688079,280259,1116,0.00398203090712519,0.6506,0.4222,1.0024
20001#1037#female genital tract cancer,European,flexdmg,Chapter II Neoplasms,0.021,219911,5460,33,0.00604395604395604,214451,838,0.00390765256398898,1.55,1.0935,2.1971
20001#1041#cervical cancer,European,flexdmg,Chapter II Neoplasms,0.0187,217954,3458,23,0.00665124349334876,214496,838,0.0039068327614501,1.7072,1.1266,2.5869
20001#1059#malignant melanoma,European,flexdmg,Chapter II Neoplasms,0.0294,364054,3570,6,0.00168067226890756,360484,1400,0.00388366751367606,0.4318,0.1935,0.9634
20001#1070#malignant lymph node| unspecified,European,flexdmg,Chapter II Neoplasms,0.082,409356,121,2,0.0165289256198347,409235,1601,0.00391217759966767,4.2792,1.0569,17.3251
40001#Block C50-C50#C50-C50 Malignant neoplasm of breast,European,flexdmg,Chapter II Neoplasms,0.0957,189320,1470,10,0.00680272108843537,187850,753,0.00400851743412297,1.7018,0.91,3.1827
40001#C50#Malignant neoplasm of breast,European,flexdmg,Chapter II Neoplasms,0.0973,189320,1470,10,0.00680272108843537,187850,757,0.0040298110194304,1.6928,0.9052,3.1658
40001#C509#Malignant neoplasm: Breast unspecified,European,flexdmg,Chapter II Neoplasms,0.0965,189320,1470,10,0.00680272108843537,187850,755,0.00401916422677668,1.6973,0.9076,3.1742
40001#C800#Malignant neoplasm primary site unknown so stated,European,flexdmg,Chapter II Neoplasms,0.0949,342106,426,4,0.00938967136150235,341680,1373,0.00401837977054554,2.3494,0.8764,6.2978
40002#C34#Malignant neoplasm of bronchus and lung,European,flexdmg,Chapter II Neoplasms,0.0912,241213,263,3,0.0114068441064639,240950,969,0.00402158124092135,2.8576,0.914,8.9338
40002#C349#Malignant neoplasm: Bronchus or lung unspecified,European,flexdmg,Chapter II Neoplasms,0.0848,239571,252,3,0.0119047619047619,239319,973,0.00406570309921068,2.9513,0.9438,9.2294
40002#C85#Other and unspecified types of non-Hodgkin lymphoma,European,flexdmg,Chapter II Neoplasms,0.0713,248402,110,2,0.0181818181818182,248292,984,0.00396307573341066,4.6542,1.1476,18.8759
40002#D47#Other neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue,European,flexdmg,Chapter II Neoplasms,0.044,239691,80,2,0.025,239611,993,0.00414421708519225,6.1615,1.5119,25.1107
40006#Block C81-C96#C81-C96 Malignant neoplasms stated or presumed to be primary of lymphoid haematopoietic and related tissue,European,flexdmg,Chapter II Neoplasms,0.0378,282591,6696,16,0.002389486260454,275895,1100,0.00398702404900415,0.5984,0.3651,0.9808
40006#C18#Malignant neoplasm of colon,European,flexdmg,Chapter II Neoplasms,0.0853,297657,5546,14,0.00252434186801298,292111,1184,0.00405325372889073,0.6218,0.3669,1.0539
40006#C240#Malignant neoplasm: Extrahepatic bile duct,European,flexdmg,Chapter II Neoplasms,0.07,270748,106,2,0.0188679245283019,270642,1102,0.00407179964676584,4.7037,1.1594,19.0828
40006#C440#Malignant neoplasm: Skin of lip,European,flexdmg,Chapter II Neoplasms,0.0272,275329,414,5,0.0120772946859903,274915,1104,0.00401578669770656,3.032,1.2528,7.3381
40006#C67#Malignant neoplasm of bladder,European,flexdmg,Chapter II Neoplasms,0.0088,203859,1847,1,0.000541418516513265,202012,809,0.00400471259133121,0.1347,0.0189,0.9581
40006#C679#Malignant neoplasm: Bladder unspecified,European,flexdmg,Chapter II Neoplasms,0.0357,203167,1493,1,0.000669792364367046,201674,800,0.00396679790156391,0.1683,0.0237,1.197
40006#C82#Follicular lymphoma,European,flexdmg,Chapter II Neoplasms,0.0829,342453,773,0,0,341680,1373,0.00401837977054554,0,,
40006#Chapter II#Chapter II Neoplasms,European,flexdmg,Chapter II Neoplasms,0.0063,441894,112037,384,0.00342743914956666,329857,1323,0.00401082893496273,0.854,0.7622,0.957
40006#D057#Other carcinoma in situ of breast,European,flexdmg,Chapter II Neoplasms,0.0334,188292,172,3,0.0174418604651163,188120,760,0.00403997448437168,4.3762,1.3942,13.7358
40006#D39#Neoplasm of uncertain or unknown behaviour of female genital organs,European,flexdmg,Chapter II Neoplasms,0.0359,186110,177,3,0.0169491525423729,185933,751,0.0040390893493893,4.2514,1.3548,13.3406
40006#D390#Neoplasm of uncertain or unknown behaviour: Uterus,European,flexdmg,Chapter II Neoplasms,0.0603,186031,98,2,0.0204081632653061,185933,751,0.0040390893493893,5.1371,1.2641,20.8762
40006#D48#Neoplasm of uncertain or unknown behaviour of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.079,280596,394,4,0.0101522842639594,280202,1139,0.00406492459011713,2.5129,0.9368,6.7407
40006#D486#Neoplasm of uncertain or unknown behaviour: Breast,European,flexdmg,Chapter II Neoplasms,0.0218,185989,56,2,0.0357142857142857,185933,751,0.0040390893493893,9.1326,2.2226,37.5259
40011#2#(8010-8790) Epithelial,European,flexdmg,Chapter II Neoplasms,0.0578,456246,104947,373,0.00355417496450589,351299,1395,0.00397097629085195,0.8947,0.7979,1.0032
40011#5#(9590-9999) Hematologic (Leukemias| Lymphomas and related disorders),European,flexdmg,Chapter II Neoplasms,0.0414,373262,7751,19,0.00245129660688943,365511,1427,0.00390412326851996,0.627,0.3985,0.9864
40011#8010#Carcinoma| NOS,European,flexdmg,Chapter II Neoplasms,0.0138,305133,4364,28,0.00641613198900092,300769,1169,0.00388670374938907,1.655,1.1363,2.4104
40011#8081#Bowen disease,European,flexdmg,Chapter II Neoplasms,0.0566,459449,913,0,0,458536,1782,0.00388628155695518,0,,
40011#9020#Phyllodes tumor| malignant,European,flexdmg,Chapter II Neoplasms,0.0274,249197,65,2,0.0307692307692308,249132,980,0.00393365765939341,8.0386,1.9642,32.8979
40012#1#Uncertain whether benign or malignant,European,flexdmg,Chapter II Neoplasms,0.0017,429708,101821,343,0.00336865676039324,327887,1334,0.00406847480991927,0.8274,0.7347,0.9318
41202#Block C60-C63#C60-C63 Malignant neoplasms of male genital organs,European,flexdmg,Chapter II Neoplasms,0.0409,158298,12039,34,0.00282415483013539,146259,590,0.00403393979173931,0.6992,0.4946,0.9885
41202#Block C81-C96#C81-C96 Malignant neoplasms stated or presumed to be primary of lymphoid haematopoietic and related tissue,European,flexdmg,Chapter II Neoplasms,0.0517,265000,6276,15,0.00239005736137667,258724,1031,0.00398494148204264,0.5988,0.3595,0.9976
41202#C18#Malignant neoplasm of colon,European,flexdmg,Chapter II Neoplasms,0.0989,281226,6192,16,0.00258397932816537,275034,1087,0.00395223863231455,0.6529,0.3983,1.0703
41202#C260#Malignant neoplasm: Intestinal tract part unspecified,European,flexdmg,Chapter II Neoplasms,0.0595,228573,100,2,0.02,228473,898,0.00393044254682173,5.1719,1.2734,21.0054
41202#C444#Malignant neoplasm: Skin of scalp and neck,European,flexdmg,Chapter II Neoplasms,0.0634,215405,3220,6,0.00186335403726708,212185,844,0.0039776610033697,0.4675,0.2093,1.0443
41202#C61#Malignant neoplasm of prostate,European,flexdmg,Chapter II Neoplasms,0.0764,157851,11603,34,0.00293027665258985,146248,590,0.00403424320332586,0.7255,0.5132,1.0257
41202#C67#Malignant neoplasm of bladder,European,flexdmg,Chapter II Neoplasms,0.0609,199573,4206,9,0.0021398002853067,195367,770,0.00394130021958673,0.5419,0.2807,1.0463
41202#C679#Malignant neoplasm: Bladder unspecified,European,flexdmg,Chapter II Neoplasms,0.0846,198386,3619,8,0.00221055540204476,194767,794,0.00407666596497353,0.5412,0.2695,1.0869
41202#C800#Malignant neoplasm primary site unknown so stated,European,flexdmg,Chapter II Neoplasms,0.0704,292702,546,5,0.00915750915750916,292156,1167,0.003994441325867,2.3045,0.9535,5.5696
41202#C82#Follicular lymphoma,European,flexdmg,Chapter II Neoplasms,0.0832,318773,788,0,0,317985,1265,0.00397817507115116,0,,
41202#C831#Mantle cell lymphoma,European,flexdmg,Chapter II Neoplasms,0.0979,205804,128,2,0.015625,205676,844,0.00410354149244443,3.8523,0.9514,15.5986
41202#C857#Other specified types of non-Hodgkin lymphoma,European,flexdmg,Chapter II Neoplasms,0.0786,318101,116,2,0.0172413793103448,317985,1265,0.00397817507115116,4.3925,1.0841,17.7968
41202#Chapter II#Chapter II Neoplasms,European,flexdmg,Chapter II Neoplasms,0.0895,455252,141464,517,0.00365464004976531,313788,1254,0.00399632873150025,0.9142,0.825,1.013
41202#D057#Other carcinoma in situ of breast,European,flexdmg,Chapter II Neoplasms,0.0131,175800,44,2,0.0454545454545455,175756,690,0.00392589726666515,12.0818,2.9189,50.0097
41202#D059#Carcinoma in situ of breast unspecified,European,flexdmg,Chapter II Neoplasms,0.0787,173314,1069,8,0.00748362956033676,172245,676,0.00392464222473802,1.9137,0.9506,3.8524
41202#D06#Carcinoma in situ of cervix uteri,European,flexdmg,Chapter II Neoplasms,0.0468,172679,654,6,0.0091743119266055,172025,675,0.00392384827786659,2.3505,1.0483,5.27
41202#D069#Carcinoma in situ: Cervix unspecified,European,flexdmg,Chapter II Neoplasms,0.0379,172381,619,6,0.00969305331179321,171762,675,0.00392985642924512,2.4809,1.1063,5.5635
41202#D11#Benign neoplasm of major salivary glands,European,flexdmg,Chapter II Neoplasms,0.0754,295930,739,6,0.0081190798376184,295191,1163,0.00393982201354377,2.0695,0.9248,4.631
41202#D110#Benign neoplasm: Parotid gland,European,flexdmg,Chapter II Neoplasms,0.041,295345,628,6,0.00955414012738853,294717,1166,0.00395633777488235,2.4285,1.0846,5.4377
41202#D12#Benign neoplasm of colon rectum anus and anal canal,European,flexdmg,Chapter II Neoplasms,0.022,285919,27670,85,0.00307191904589808,258249,1027,0.00397678209789777,0.7718,0.6184,0.9632
41202#D123#Benign neoplasm: Transverse colon,European,flexdmg,Chapter II Neoplasms,0.0174,235552,5154,10,0.00194024058983314,230398,909,0.00394534674780163,0.4908,0.263,0.9158
41202#D17#Benign lipomatous neoplasm,European,flexdmg,Chapter II Neoplasms,0.001,315697,7048,12,0.00170261066969353,308649,1232,0.00399158915143091,0.4256,0.2409,0.7518
41202#D171#Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,European,flexdmg,Chapter II Neoplasms,0.0423,320668,2683,4,0.00149086843086098,317985,1265,0.00397817507115116,0.3738,0.14,0.9983
41202#D172#Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,European,flexdmg,Chapter II Neoplasms,0.0761,283685,2061,3,0.00145560407569141,281624,1129,0.00400889128767435,0.3622,0.1165,1.1256
41202#D231#Benign neoplasm: Skin of eyelid including canthus,European,flexdmg,Chapter II Neoplasms,0.0253,319550,1565,1,0.000638977635782748,317985,1265,0.00397817507115116,0.1601,0.0225,1.1381
41202#D237#Benign neoplasm: Skin of lower limb including hip,European,flexdmg,Chapter II Neoplasms,0.0623,269370,707,6,0.00848656294200849,268663,1051,0.00391196405906284,2.1794,0.9735,4.8789
41202#D36#Benign neoplasm of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0055,318932,947,10,0.0105596620908131,317985,1265,0.00397817507115116,2.6721,1.4295,4.9948
41202#D361#Benign neoplasm: Peripheral nerves and autonomic nervous system,European,flexdmg,Chapter II Neoplasms,0.0239,318686,701,7,0.00998573466476462,317985,1265,0.00397817507115116,2.5254,1.197,5.3279
41202#D367#Benign neoplasm: Other specified sites,European,flexdmg,Chapter II Neoplasms,0.0449,318182,197,3,0.0152284263959391,317985,1265,0.00397817507115116,3.8717,1.2362,12.1261
41202#D39#Neoplasm of uncertain or unknown behaviour of female genital organs,European,flexdmg,Chapter II Neoplasms,0.0165,172006,244,4,0.0163934426229508,171762,675,0.00392985642924512,4.2244,1.5681,11.3804
41202#D391#Neoplasm of uncertain or unknown behaviour: Ovary,European,flexdmg,Chapter II Neoplasms,0.0072,171953,191,4,0.0209424083769634,171762,675,0.00392985642924512,5.4217,2.0079,14.6393
41202#D474#Osteomyelofibrosis,European,flexdmg,Chapter II Neoplasms,0.0147,251077,127,3,0.0236220472440945,250950,1000,0.0039848575413429,6.0472,1.9207,19.039
41202#D48#Neoplasm of uncertain or unknown behaviour of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.011,296584,1065,10,0.00938967136150235,295519,1162,0.00393206528175853,2.4011,1.2847,4.4877
41202#D481#Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue,European,flexdmg,Chapter II Neoplasms,0.0825,318394,409,4,0.0097799511002445,317985,1265,0.00397817507115116,2.4728,0.9222,6.6308
41202#D486#Neoplasm of uncertain or unknown behaviour: Breast,European,flexdmg,Chapter II Neoplasms,0.0019,175949,130,4,0.0307692307692308,175819,693,0.00394155352948202,8.0224,2.9565,21.7686
Union#Block C00-C14#C00-C14 Malignant neoplasms of lip oral cavity and pharynx,European,flexdmg,Chapter II Neoplasms,0.0579,209164,2261,3,0.00132684652808492,206903,811,0.0039197111690019,0.3376,0.1086,1.0498
Union#Block C60-C63#C60-C63 Malignant neoplasms of male genital organs,European,flexdmg,Chapter II Neoplasms,0.0976,148232,17758,57,0.00320982092577993,130474,531,0.00406977635390959,0.788,0.5994,1.036
Union#Block C64-C68#C64-C68 Malignant neoplasms of urinary tract,European,flexdmg,Chapter II Neoplasms,0.0882,191563,7327,20,0.00272963013511669,184236,745,0.00404372652467487,0.6741,0.4321,1.0517
Union#Block C81-C96#C81-C96 Malignant neoplasms stated or presumed to be primary of lymphoid haematopoietic and related tissue,European,flexdmg,Chapter II Neoplasms,0.0324,240332,8541,21,0.00245872848612575,231791,902,0.00389143668218352,0.6309,0.4091,0.973
Union#C258#Malignant neoplasm: Overlapping lesion of pancreas,European,flexdmg,Chapter II Neoplasms,0.0267,273845,63,2,0.0317460317460317,273782,1097,0.00400683755688833,8.1499,1.9903,33.3723
Union#C43#Malignant melanoma of skin,European,flexdmg,Chapter II Neoplasms,0.0304,271861,8039,20,0.00248787162582411,263822,1063,0.00402923183055242,0.6165,0.3959,0.9601
Union#C67#Malignant neoplasm of bladder,European,flexdmg,Chapter II Neoplasms,0.0147,179133,4806,9,0.00187265917602996,174327,715,0.00410148743453395,0.4556,0.2359,0.8797
Union#C679#Malignant neoplasm: Bladder unspecified,European,flexdmg,Chapter II Neoplasms,0.0491,176944,4211,9,0.00213725955829969,172733,716,0.00414512571425263,0.5146,0.2665,0.9937
Union#C796#Secondary malignant neoplasm of ovary,European,flexdmg,Chapter II Neoplasms,0.0945,143653,272,3,0.0110294117647059,143381,566,0.00394752442792281,2.814,0.8992,8.8066
Union#C829#Follicular lymphoma unspecified,European,flexdmg,Chapter II Neoplasms,0.0824,274544,762,0,0,273782,1097,0.00400683755688833,0,,
Union#Chapter II#Chapter II Neoplasms,European,flexdmg,Chapter II Neoplasms,0.0997,434608,176884,647,0.00365776441057416,257724,1024,0.00397324269373438,0.9203,0.8339,1.0157
Union#D001#Carcinoma in situ: Oesophagus,European,flexdmg,Chapter II Neoplasms,0.0517,171476,92,2,0.0217391304347826,171384,676,0.00394435886663866,5.6117,1.3793,22.8313
Union#D057#Other carcinoma in situ of breast,European,flexdmg,Chapter II Neoplasms,0.002,144916,220,5,0.0227272727272727,144696,574,0.00396693757947697,5.8392,2.3968,14.2255
Union#D059#Carcinoma in situ of breast unspecified,European,flexdmg,Chapter II Neoplasms,0.0954,145253,1484,10,0.00673854447439353,143769,570,0.00396469336226864,1.7044,0.9102,3.1916
Union#D110#Benign neoplasm: Parotid gland,European,flexdmg,Chapter II Neoplasms,0.0594,248505,681,6,0.00881057268722467,247824,994,0.00401091096907483,2.2073,0.9857,4.9426
Union#D12#Benign neoplasm of colon rectum anus and anal canal,European,flexdmg,Chapter II Neoplasms,0.0022,262940,31381,93,0.00296357668653007,231559,951,0.00410694466637013,0.7208,0.5823,0.8921
Union#D120#Benign neoplasm: Caecum,European,flexdmg,Chapter II Neoplasms,0.042,230457,5673,13,0.0022915564956813,224784,911,0.00405277955726386,0.5644,0.3263,0.9764
Union#D123#Benign neoplasm: Transverse colon,European,flexdmg,Chapter II Neoplasms,0.0119,210727,7852,17,0.0021650534895568,202875,799,0.00393838570548367,0.5488,0.3392,0.8877
Union#D171#Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,European,flexdmg,Chapter II Neoplasms,0.0177,276750,2968,4,0.00134770889487871,273782,1097,0.00400683755688833,0.3355,0.1256,0.896
Union#D172#Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,European,flexdmg,Chapter II Neoplasms,0.0309,245851,2342,3,0.00128095644748079,243509,979,0.00402038528350082,0.3177,0.1022,0.9876
Union#D176#Benign lipomatous neoplasm of spermatic cord,European,flexdmg,Chapter II Neoplasms,0.069,132710,1545,11,0.00711974110032363,131165,533,0.00406358403537529,1.7575,0.9653,3.1996
Union#D231#Benign neoplasm: Skin of eyelid including canthus,European,flexdmg,Chapter II Neoplasms,0.0181,275472,1690,1,0.000591715976331361,273782,1097,0.00400683755688833,0.1472,0.0207,1.0464
Union#D237#Benign neoplasm: Skin of lower limb including hip,European,flexdmg,Chapter II Neoplasms,0.0203,221063,990,9,0.00909090909090909,220073,880,0.00399867316753986,2.2852,1.1815,4.4198
Union#D352#Benign neoplasm: Pituitary gland,European,flexdmg,Chapter II Neoplasms,0.0557,274640,858,0,0,273782,1097,0.00400683755688833,0,,
Union#D36#Benign neoplasm of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0091,258952,1174,11,0.00936967632027257,257778,1032,0.00400344482461653,2.3531,1.2954,4.2743
Union#D361#Benign neoplasm: Peripheral nerves and autonomic nervous system,European,flexdmg,Chapter II Neoplasms,0.0246,274641,859,8,0.00931315483119907,273782,1097,0.00400683755688833,2.3368,1.1619,4.6997
Union#D367#Benign neoplasm: Other specified sites,European,flexdmg,Chapter II Neoplasms,0.0697,274017,235,3,0.0127659574468085,273782,1097,0.00400683755688833,3.2143,1.0275,10.0548
Union#D39#Neoplasm of uncertain or unknown behaviour of female genital organs,European,flexdmg,Chapter II Neoplasms,0.0445,149892,635,6,0.00944881889763779,149257,595,0.00398641269756192,2.3833,1.0624,5.3468
Union#D391#Neoplasm of uncertain or unknown behaviour: Ovary,European,flexdmg,Chapter II Neoplasms,0.0318,143679,298,4,0.0134228187919463,143381,566,0.00394752442792281,3.433,1.2755,9.2398
Union#D474#Osteomyelofibrosis,European,flexdmg,Chapter II Neoplasms,0.0449,215635,190,3,0.0157894736842105,215445,888,0.00412170159437444,3.8762,1.2365,12.151
Union#D48#Neoplasm of uncertain or unknown behaviour of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0467,257576,1628,12,0.00737100737100737,255948,1033,0.00403597605763671,1.8325,1.0351,3.2441
Union#D486#Neoplasm of uncertain or unknown behaviour: Breast,European,flexdmg,Chapter II Neoplasms,0.000798,146004,179,5,0.0279329608938548,145825,575,0.00394308246185496,7.2589,2.9725,17.726
Union#D489#Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour unspecified,European,flexdmg,Chapter II Neoplasms,0.0032,369036,102100,343,0.00335945151811949,266936,1075,0.00402718254562892,0.8336,0.7381,0.9416
130653#Source of report of D66 (Hereditary factor VIII deficiency),European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0133,459449,126,3,0.0238095238095238,459323,1779,0.00387309148464153,6.273,1.9937,19.7375
130673#Source of report of D76 (Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue),European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0876,459449,127,2,0.015748031496063,459322,1780,0.00387527703876583,4.1127,1.0165,16.6405
20002#1328#haemophilia,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.015,414403,48,2,0.0416666666666667,414355,1599,0.00385900978629436,11.2232,2.7221,46.2737
20002#1381#systemic lupus erythematosis|sle,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0552,217174,524,5,0.00954198473282443,216650,838,0.00386798984537272,2.481,1.0256,6.0017
41202#D500#Iron deficiency anaemia secondary to blood loss (chronic),European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0714,434789,244,3,0.0122950819672131,434545,1695,0.00390063169522144,3.1789,1.017,9.9359
41202#D860#Sarcoidosis of lung,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.016,434679,134,3,0.0223880597014925,434545,1695,0.00390063169522144,5.8481,1.8601,18.3863
Union#D51#Vitamin B12 deficiency anaemia,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.074,296974,3483,20,0.00574217628481194,293491,1127,0.00383998146450828,1.4982,0.9616,2.3343
Union#D539#Nutritional anaemia unspecified,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0965,357781,135,2,0.0148148148148148,357646,1380,0.00385856405495937,3.8822,0.9599,15.7007
Union#D66#Hereditary factor VIII deficiency,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0135,357773,127,3,0.0236220472440945,357646,1380,0.00385856405495937,6.2459,1.9847,19.6555
Union#D76#Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.087,357773,127,2,0.015748031496063,357646,1380,0.00385856405495937,4.1306,1.0207,16.7166
Union#D763#Other histiocytosis syndromes,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0468,357735,89,2,0.0224719101123596,357646,1380,0.00385856405495937,5.9348,1.4595,24.1334
Union#D860#Sarcoidosis of lung,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0865,358075,429,4,0.00932400932400932,357646,1380,0.00385856405495937,2.4298,0.9064,6.5131
Union#D899#Disorder involving the immune mechanism unspecified,European,flexdmg,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0779,357765,119,2,0.0168067226890756,357646,1380,0.00385856405495937,4.4131,1.0896,17.873
130697#Source of report of E03 (Other hypothyroidism),European,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.0855,309740,36912,127,0.00344061551798873,272828,1104,0.00404650549063879,0.8498,0.707,1.0214
