Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
20002#1580#hepatitis c,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0794,318453,103,3,0.029126213592233,318350,3089,0.00970315690277996,3.0618,0.9704,9.66
23074#H. pylori Definition II seropositivity for Helicobacter pylori,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0773,8022,2627,35,0.0133231823372668,5395,48,0.00889712696941613,1.5042,0.9705,2.3313
40001#A81#Atypical virus infections of central nervous system,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0108,457529,47,3,0.0638297872340426,457482,4443,0.00971185751570554,6.9523,2.1579,22.3985
40001#A810#Creutzfeldt-Jakob disease,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0096,457527,45,3,0.0666666666666667,457482,4443,0.00971185751570554,7.2834,2.2567,23.5068
40001#Block A80-A89#A80-A89 Viral infections of the central nervous system,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0157,457536,54,3,0.0555555555555556,457482,4443,0.00971185751570554,5.9981,1.8713,19.2252
40002#A04#Other bacterial intestinal infections,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.094,457535,53,2,0.0377358490566038,457482,4443,0.00971185751570554,3.9987,0.9732,16.4302
40002#A047#Enterocolitis due to Clostridium difficile,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0881,457533,51,2,0.0392156862745098,457482,4443,0.00971185751570554,4.1619,1.0118,17.1194
40002#Block A00-A09#A00-A09 Intestinal infectious diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0447,457563,81,3,0.037037037037037,457482,4443,0.00971185751570554,3.9218,1.2374,12.4298
41202#A05#Other bacterial foodborne intoxications not elsewhere classified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0502,431212,37,2,0.0540540540540541,431175,4188,0.0097129935640981,5.826,1.4008,24.231
41202#A059#Bacterial foodborne intoxication unspecified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0431,431209,34,2,0.0588235294117647,431175,4188,0.0097129935640981,6.3722,1.5266,26.5983
41202#A400#Sepsis due to streptococcus group A,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.019,431233,58,3,0.0517241379310345,431175,4188,0.0097129935640981,5.5612,1.7391,17.7834
41202#A415#Sepsis due to other Gram-negative organisms,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0462,337945,1505,7,0.00465116279069768,336440,3255,0.00967483057900369,0.4783,0.2275,1.0059
41202#A81#Atypical virus infections of central nervous system,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0115,431223,48,3,0.0625,431175,4188,0.0097129935640981,6.797,2.1114,21.8805
41202#A810#Creutzfeldt-Jakob disease,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.006,431213,38,3,0.0789473684210526,431175,4188,0.0097129935640981,8.739,2.6866,28.4257
41202#B20#Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.045,196981,35,2,0.0571428571428571,196946,1901,0.00965239202624069,6.2183,1.491,25.9329
41202#Block A80-A89#A80-A89 Viral infections of the central nervous system,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0983,431544,369,7,0.018970189701897,431175,4188,0.0097129935640981,1.9715,0.9326,4.1677
Union#A01#Typhoid and paratyphoid fevers,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0937,213768,109,3,0.0275229357798165,213659,2106,0.00985682793610379,2.843,0.9017,8.9636
Union#A059#Bacterial foodborne intoxication unspecified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0604,294632,40,2,0.05,294592,2934,0.0099595372583098,5.2319,1.2616,21.697
Union#A07#Other protozoal intestinal diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0379,264979,502,10,0.0199203187250996,264477,2636,0.00996684021672962,2.019,1.0782,3.7804
Union#A08#Viral and other specified intestinal infections,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0401,299780,5188,37,0.00713184271395528,294592,2934,0.0099595372583098,0.714,0.5157,0.9887
Union#A169#Respiratory tuberculosis unspecified without mention of bacteriological or histological confirmation,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0221,210521,60,3,0.05,210461,2090,0.00993058096274369,5.2473,1.642,16.7688
Union#A400#Sepsis due to streptococcus group A,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.09,294698,106,3,0.0283018867924528,294592,2934,0.0099595372583098,2.8953,0.9181,9.1307
Union#A81#Atypical virus infections of central nervous system,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.038,294666,74,3,0.0405405405405405,294592,2934,0.0099595372583098,4.2003,1.3222,13.3429
Union#A810#Creutzfeldt-Jakob disease,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.016,294645,53,3,0.0566037735849057,294592,2934,0.0099595372583098,5.9644,1.8593,19.1333
Union#B01#Varicella [chickenpox],European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0267,314655,20063,168,0.00837362308727508,294592,2934,0.0099595372583098,0.8394,0.7181,0.9813
Union#B05#Measles,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0198,295848,14523,116,0.00798733044136886,281325,2796,0.0099386830178619,0.8021,0.6656,0.9665
Union#B06#Rubella [German measles],European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.036,258910,5351,38,0.00710147635955896,253559,2520,0.00993851529624269,0.7125,0.5166,0.9827
Union#B20#Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0773,133339,47,2,0.0425531914893617,133292,1301,0.00976052576298652,4.509,1.0927,18.6069
Union#B448#Other forms of aspergillosis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0427,294625,33,2,0.0606060606060606,294592,2934,0.0099595372583098,6.4133,1.5341,26.81
Union#B58#Toxoplasmosis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.095,294644,52,2,0.0384615384615385,294592,2934,0.0099595372583098,3.9763,0.9671,16.3493
Union#B88#Other infestations,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0093,294770,178,6,0.0337078651685393,294592,2934,0.0099595372583098,3.4677,1.5352,7.8326
Union#Block B15-B19#B15-B19 Viral hepatitis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0547,223540,1025,4,0.00390243902439024,222515,2189,0.00983753904231175,0.3943,0.1476,1.0536
20001#1078#tonsil cancer,European,flexdmg,Chapter II Neoplasms,0.0402,292328,33,2,0.0606060606060606,292295,2814,0.009627260131032,6.6369,1.5876,27.7452
40001#C32#Malignant neoplasm of larynx,European,flexdmg,Chapter II Neoplasms,0.0202,186956,60,3,0.05,186896,1795,0.00960427189452958,5.4274,1.6981,17.3465
40001#C67#Malignant neoplasm of bladder,European,flexdmg,Chapter II Neoplasms,0.06,208576,481,9,0.0187110187110187,208095,2048,0.00984165885773325,1.9184,0.9906,3.7153
40001#C679#Malignant neoplasm: Bladder unspecified,European,flexdmg,Chapter II Neoplasms,0.0526,208431,478,9,0.0188284518828452,207953,1983,0.00953580857212928,1.9932,1.0291,3.8605
40002#C32#Malignant neoplasm of larynx,European,flexdmg,Chapter II Neoplasms,0.0378,184621,32,2,0.0625,184589,1770,0.00958887040939601,6.8858,1.6443,28.8357
40006#Block D00-D09#D00-D09 In situ neoplasms,European,flexdmg,Chapter II Neoplasms,0.0418,278305,14165,113,0.00797740910695376,264140,2559,0.00968804421897479,0.822,0.6803,0.9932
40006#Block D37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,European,flexdmg,Chapter II Neoplasms,0.0517,284376,3714,48,0.012924071082391,280662,2709,0.00965217948992026,1.3434,1.008,1.7905
40006#C10#Malignant neoplasm of oropharynx,European,flexdmg,Chapter II Neoplasms,0.0229,233684,63,3,0.0476190476190476,233621,2239,0.00958389870773603,5.1671,1.6193,16.4876
40006#C109#Malignant neoplasm: Oropharynx unspecified,European,flexdmg,Chapter II Neoplasms,0.0533,219237,38,2,0.0526315789473684,219199,2141,0.00976738032564017,5.6323,1.3552,23.4077
40006#C182#Malignant neoplasm: Ascending colon,European,flexdmg,Chapter II Neoplasms,0.0749,308209,823,3,0.00364520048602673,307386,3023,0.00983454028485357,0.3684,0.1185,1.1451
40006#C259#Malignant neoplasm: Pancreas unspecified,European,flexdmg,Chapter II Neoplasms,0.0899,302588,452,8,0.0176991150442478,302136,2942,0.00973733682844812,1.8324,0.9098,3.6904
40006#C443#Malignant neoplasm: Skin of other and unspecified parts of face,European,flexdmg,Chapter II Neoplasms,0.0363,309818,8290,100,0.0120627261761158,301528,2933,0.00972712318590645,1.243,1.0172,1.519
40006#C505#Malignant neoplasm: Lower-outer quadrant of breast,European,flexdmg,Chapter II Neoplasms,0.0941,187264,930,4,0.0043010752688172,186334,1835,0.00984790752090332,0.4343,0.1625,1.1609
40006#C508#Malignant neoplasm: Overlapping lesion of breast,European,flexdmg,Chapter II Neoplasms,0.0767,187612,1416,21,0.0148305084745763,186196,1830,0.00982835291843004,1.5166,0.9833,2.3393
40006#C539#Malignant neoplasm: Cervix uteri unspecified,European,flexdmg,Chapter II Neoplasms,0.0424,186362,429,9,0.020979020979021,185933,1829,0.00983687672441148,2.157,1.1127,4.1812
40006#C85#Other and unspecified types of non-Hodgkin lymphoma,European,flexdmg,Chapter II Neoplasms,0.0875,316048,745,12,0.0161073825503356,315303,3054,0.00968592116154937,1.6738,0.9451,2.9643
40006#C857#Other specified types of non-Hodgkin lymphoma,European,flexdmg,Chapter II Neoplasms,0.0438,305472,261,6,0.0229885057471264,305211,2966,0.00971786731146649,2.3977,1.0663,5.3917
40006#C88#Malignant immunoproliferative diseases,European,flexdmg,Chapter II Neoplasms,0.0511,252808,86,3,0.0348837209302326,252722,2440,0.00965487769169285,3.7075,1.1709,11.7391
40006#C880#Waldenstrom macroglobulinaemia,European,flexdmg,Chapter II Neoplasms,0.0427,254361,80,3,0.0375,254281,2454,0.00965074071597956,3.9981,1.2607,12.6791
40006#D031#Melanoma in situ of eyelid including canthus,European,flexdmg,Chapter II Neoplasms,0.0455,341715,35,2,0.0571428571428571,341680,3320,0.00971669398267385,6.1767,1.4815,25.7518
40006#D059#Carcinoma in situ of breast unspecified,European,flexdmg,Chapter II Neoplasms,0.0674,187002,220,5,0.0227272727272727,186782,1833,0.00981357946697219,2.3465,0.9657,5.7019
40006#D060#Carcinoma in situ: Endocervix,European,flexdmg,Chapter II Neoplasms,0.0206,185992,59,3,0.0508474576271187,185933,1829,0.00983687672441148,5.3924,1.6863,17.2434
40006#D09#Carcinoma in situ of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0217,209160,1664,7,0.00420673076923077,207496,1992,0.00960018506380846,0.4358,0.2072,0.9168
40006#D090#Carcinoma in situ: Bladder,European,flexdmg,Chapter II Neoplasms,0.0362,207446,1552,7,0.00451030927835052,205894,2010,0.0097623048753242,0.4596,0.2184,0.9669
40006#D375#Neoplasm of uncertain or unknown behaviour: Rectum,European,flexdmg,Chapter II Neoplasms,0.0659,341775,95,3,0.0315789473684211,341680,3320,0.00971669398267385,3.3233,1.0519,10.5001
40006#D42#Neoplasm of uncertain or unknown behaviour of meninges,European,flexdmg,Chapter II Neoplasms,0.0247,341744,64,3,0.046875,341680,3320,0.00971669398267385,5.0122,1.5719,15.9824
40011#8091#Multifocal superficial basal cell carcinoma,European,flexdmg,Chapter II Neoplasms,0.0998,459449,478,1,0.00209205020920502,458971,4462,0.00972174712563539,0.2135,0.03,1.5195
40011#8094#Basosquamous carcinoma,European,flexdmg,Chapter II Neoplasms,0.0675,356677,95,3,0.0315789473684211,356582,3500,0.00981541412634401,3.2896,1.0412,10.3932
40011#8097#Basal cell carcinoma| nodular,European,flexdmg,Chapter II Neoplasms,0.0539,383017,1410,21,0.0148936170212766,381607,3672,0.00962246499671128,1.5561,1.0101,2.3972
40011#8120#Transitional cell carcinoma,European,flexdmg,Chapter II Neoplasms,0.0329,282338,1504,23,0.0152925531914894,280834,2700,0.00961422050036676,1.5998,1.0579,2.4193
40011#8240#Carcinoid tumor,European,flexdmg,Chapter II Neoplasms,0.0978,459449,614,10,0.0162866449511401,458835,4453,0.00970501378491179,1.6894,0.9037,3.1581
40011#8261#Adenocarcinoma in villous adenoma,European,flexdmg,Chapter II Neoplasms,0.0687,387446,293,6,0.0204778156996587,387153,3765,0.00972483746735787,2.1288,0.9479,4.7812
40011#8310#Clear cell adenocarcinoma,European,flexdmg,Chapter II Neoplasms,0.0311,384421,1108,4,0.0036101083032491,383313,3729,0.00972834211205986,0.3688,0.1381,0.985
40011#8480#Mucinous adenocarcinoma,European,flexdmg,Chapter II Neoplasms,0.0311,369938,1103,4,0.00362647325475975,368835,3604,0.00977130695297355,0.3688,0.1381,0.9851
40011#8720#Malignant melanoma| NOS,European,flexdmg,Chapter II Neoplasms,0.0777,435295,2449,15,0.00612494895875868,432846,4211,0.00972863327834842,0.6273,0.3772,1.0431
40011#8850#Liposarcoma| NOS,European,flexdmg,Chapter II Neoplasms,0.0532,459449,87,3,0.0344827586206897,459362,4460,0.00970911829885798,3.6427,1.1511,11.5276
40011#8851#Liposarcoma| well differentiated,European,flexdmg,Chapter II Neoplasms,0.0649,311753,43,2,0.0465116279069768,311710,3010,0.00965641140803952,5.0028,1.2095,20.6929
40011#9591#Malignant lymphoma| non-Hodgkin,European,flexdmg,Chapter II Neoplasms,0.046,385656,332,7,0.0210843373493976,385324,3754,0.00974245050918188,2.1892,1.0347,4.632
40011#9715#Anaplastic large cell lymphoma| ALK negative,European,flexdmg,Chapter II Neoplasms,0.0169,402998,207,6,0.0289855072463768,402791,3934,0.00976685179162394,3.0265,1.3428,6.8212
40011#9761#Waldenstrom macroglobulinemia,European,flexdmg,Chapter II Neoplasms,0.0411,338978,79,3,0.0379746835443038,338899,3260,0.00961938512654213,4.0641,1.2814,12.8897
41202#Block C30-C39#C30-C39 Malignant neoplasms of respiratory and intrathoracic organs,European,flexdmg,Chapter II Neoplasms,0.0858,280237,5610,42,0.00748663101604278,274627,2691,0.0097987452071355,0.7623,0.5614,1.0351
41202#C12#Malignant neoplasm of piriform sinus,European,flexdmg,Chapter II Neoplasms,0.0204,175528,60,3,0.05,175468,1691,0.0096370848245834,5.4087,1.6922,17.2879
41202#C13#Malignant neoplasm of hypopharynx,European,flexdmg,Chapter II Neoplasms,0.000305,214045,60,5,0.0833333333333333,213985,2079,0.00971563427343038,9.2661,3.7055,23.1708
41202#C139#Malignant neoplasm: Hypopharynx unspecified,European,flexdmg,Chapter II Neoplasms,0.0096,201101,44,3,0.0681818181818182,201057,2000,0.00994742784384528,7.2826,2.2533,23.5373
41202#C34#Malignant neoplasm of bronchus and lung,European,flexdmg,Chapter II Neoplasms,0.0213,295104,5025,34,0.00676616915422886,290079,2883,0.00993867187903985,0.6786,0.4834,0.9527
41202#C341#Malignant neoplasm: Upper lobe bronchus or lung,European,flexdmg,Chapter II Neoplasms,0.0642,301044,2193,13,0.00592795257637939,298851,2952,0.00987783209693125,0.5977,0.3461,1.0323
41202#C349#Malignant neoplasm: Bronchus or lung unspecified,European,flexdmg,Chapter II Neoplasms,0.0099,284048,2484,12,0.00483091787439614,281564,2767,0.00982725064283786,0.4891,0.277,0.8635
41202#C411#Malignant neoplasm: Mandible,European,flexdmg,Chapter II Neoplasms,0.0995,225655,54,2,0.037037037037037,225601,2224,0.00985811233106236,3.863,0.9404,15.8696
41202#C43#Malignant melanoma of skin,European,flexdmg,Chapter II Neoplasms,0.0956,322120,4135,30,0.00725513905683192,317985,3146,0.00989354843781939,0.7314,0.5098,1.0492
41202#C447#Malignant neoplasm: Skin of lower limb including hip,European,flexdmg,Chapter II Neoplasms,0.0213,293133,2170,11,0.00506912442396313,290963,2882,0.00990503947237278,0.5093,0.2813,0.9221
41202#C53#Malignant neoplasm of cervix uteri,European,flexdmg,Chapter II Neoplasms,0.0247,172106,344,8,0.0232558139534884,171762,1726,0.0100487884398179,2.3456,1.1616,4.7365
41202#C539#Malignant neoplasm: Cervix uteri unspecified,European,flexdmg,Chapter II Neoplasms,0.0161,172079,317,8,0.0252365930599369,171762,1726,0.0100487884398179,2.5505,1.2622,5.154
41202#C711#Malignant neoplasm: Frontal lobe,European,flexdmg,Chapter II Neoplasms,0.0817,256824,307,0,0,256517,2514,0.00980052004350589,0,,
41202#C820#Follicular lymphoma grade I,European,flexdmg,Chapter II Neoplasms,0.0542,318071,86,3,0.0348837209302326,317985,3146,0.00989354843781939,3.6172,1.1426,11.4514
41202#C851#B-cell lymphoma unspecified,European,flexdmg,Chapter II Neoplasms,0.025,260254,625,1,0.0016,259629,2568,0.00989103682562425,0.1604,0.0226,1.1411
41202#Chapter II#Chapter II Neoplasms,European,flexdmg,Chapter II Neoplasms,0.0698,455252,141464,1317,0.00930978906294181,313788,3101,0.00988246841816768,0.9415,0.8825,1.0045
41202#D037#Melanoma in situ of lower limb including hip,European,flexdmg,Chapter II Neoplasms,0.092,212729,240,5,0.0208333333333333,212489,2103,0.00989698290264437,2.1285,0.8768,5.167
41202#D046#Carcinoma in situ: Skin of upper limb including shoulder,European,flexdmg,Chapter II Neoplasms,0.0391,263453,252,6,0.0238095238095238,263201,2575,0.00978339747949286,2.4686,1.0973,5.5537
41202#D122#Benign neoplasm: Ascending colon,European,flexdmg,Chapter II Neoplasms,0.0325,253095,4882,33,0.00675952478492421,248213,2434,0.00980609395962339,0.6872,0.4869,0.97
41202#D221#Melanocytic naevi of eyelid including canthus,European,flexdmg,Chapter II Neoplasms,0.082,230320,308,0,0,230012,2307,0.0100299114828792,0,,
41202#D222#Melanocytic naevi of ear and external auricular canal,European,flexdmg,Chapter II Neoplasms,0.0076,318107,122,5,0.040983606557377,317985,3146,0.00989354843781939,4.2768,1.7462,10.4746
41202#D32#Benign neoplasm of meninges,European,flexdmg,Chapter II Neoplasms,0.068,234351,767,13,0.0169491525423729,233584,2360,0.0101034317419001,1.6892,0.9748,2.9272
41202#D320#Benign neoplasm: Cerebral meninges,European,flexdmg,Chapter II Neoplasms,0.0643,237127,621,11,0.0177133655394525,236506,2354,0.00995323585870972,1.7937,0.9867,3.2607
41202#D376#Neoplasm of uncertain or unknown behaviour: Liver gallbladder and bile ducts,European,flexdmg,Chapter II Neoplasms,0.0637,318077,92,3,0.0326086956521739,317985,3146,0.00989354843781939,3.3733,1.067,10.6649
41202#D46#Myelodysplastic syndromes,European,flexdmg,Chapter II Neoplasms,0.0791,234936,561,10,0.017825311942959,234375,2300,0.00981333333333333,1.8313,0.9785,3.4272
41202#D469#Myelodysplastic syndrome unspecified,European,flexdmg,Chapter II Neoplasms,0.0554,234228,470,9,0.0191489361702128,233758,2302,0.00984779130553821,1.9629,1.0136,3.8015
41202#D485#Neoplasm of uncertain or unknown behaviour: Skin,European,flexdmg,Chapter II Neoplasms,0.0906,318224,239,5,0.0209205020920502,317985,3146,0.00989354843781939,2.1384,0.8812,5.1893
Union#Block D10-D36#D10-D36 Benign neoplasms,European,flexdmg,Chapter II Neoplasms,0.0469,326498,92825,843,0.00908160517102074,233673,2298,0.00983425556226008,0.9228,0.8524,0.9989
Union#C12#Malignant neoplasm of piriform sinus,European,flexdmg,Chapter II Neoplasms,0.0279,156082,67,3,0.0447761194029851,156015,1517,0.00972342402974073,4.774,1.4982,15.2123
Union#C13#Malignant neoplasm of hypopharynx,European,flexdmg,Chapter II Neoplasms,0.0014,189965,83,5,0.0602409638554217,189882,1861,0.00980082366943681,6.4764,2.6191,16.0149
Union#C139#Malignant neoplasm: Hypopharynx unspecified,European,flexdmg,Chapter II Neoplasms,0.024,178656,63,3,0.0476190476190476,178593,1744,0.00976522036138035,5.0702,1.5886,16.1819
Union#C182#Malignant neoplasm: Ascending colon,European,flexdmg,Chapter II Neoplasms,0.0232,275074,1292,5,0.00386996904024768,273782,2715,0.00991664901271815,0.3879,0.161,0.9343
Union#C25#Malignant neoplasm of pancreas,European,flexdmg,Chapter II Neoplasms,0.0778,240228,2129,29,0.013621418506341,238099,2337,0.00981524491913028,1.3931,0.9635,2.0143
Union#C252#Malignant neoplasm: Tail of pancreas,European,flexdmg,Chapter II Neoplasms,0.0286,234553,300,7,0.0233333333333333,234253,2271,0.00969464638659911,2.4404,1.1519,5.1703
Union#C26#Malignant neoplasm of other and ill-defined digestive organs,European,flexdmg,Chapter II Neoplasms,0.0124,223691,696,1,0.0014367816091954,222995,2233,0.0100136774367138,0.1422,0.02,1.0117
Union#C260#Malignant neoplasm: Intestinal tract part unspecified,European,flexdmg,Chapter II Neoplasms,0.0505,218030,567,1,0.0017636684303351,217463,2122,0.00975798181759656,0.1793,0.0252,1.2757
Union#C402#Malignant neoplasm: Long bones of lower limb,European,flexdmg,Chapter II Neoplasms,0.0794,273829,47,2,0.0425531914893617,273782,2715,0.00991664901271815,4.4374,1.0759,18.301
Union#C435#Malignant neoplasm: Malignant melanoma of trunk,European,flexdmg,Chapter II Neoplasms,0.0865,203380,2006,12,0.00598205383848455,201374,1974,0.0098026557549634,0.6079,0.344,1.0741
Union#C447#Malignant neoplasm: Skin of lower limb including hip,European,flexdmg,Chapter II Neoplasms,0.047,244265,3468,23,0.0066320645905421,240797,2402,0.00997520733231726,0.6626,0.4389,1.0005
Union#C508#Malignant neoplasm: Overlapping lesion of breast,European,flexdmg,Chapter II Neoplasms,0.0448,145772,2038,30,0.014720314033366,143734,1453,0.0101089512571834,1.463,1.0164,2.1057
Union#C711#Malignant neoplasm: Frontal lobe,European,flexdmg,Chapter II Neoplasms,0.0573,240306,368,0,0,239938,2375,0.00989839041752453,0,,
Union#C809#Malignant neoplasm primary site unspecified,European,flexdmg,Chapter II Neoplasms,0.0948,264382,37245,337,0.00904819438850853,227137,2265,0.0099719552516763,0.9065,0.8081,1.017
Union#C820#Follicular lymphoma grade I,European,flexdmg,Chapter II Neoplasms,0.0696,273937,155,4,0.0258064516129032,273782,2715,0.00991664901271815,2.6448,0.9792,7.1435
Union#C840#Mycosis fungoides,European,flexdmg,Chapter II Neoplasms,0.0879,220945,105,3,0.0285714285714286,220840,2197,0.00994837891686289,2.927,0.9278,9.2339
Union#C857#Other specified types of non-Hodgkin lymphoma,European,flexdmg,Chapter II Neoplasms,0.0192,274280,498,11,0.0220883534136546,273782,2715,0.00991664901271815,2.2551,1.2391,4.1042
Union#C865#Angioimmunoblastic T-cell lymphoma,European,flexdmg,Chapter II Neoplasms,0.0974,273835,53,2,0.0377358490566038,273782,2715,0.00991664901271815,3.9153,0.9527,16.0907
Union#C921#Chronic myeloid leukaemia [CML] BCR/ABL-positive,European,flexdmg,Chapter II Neoplasms,0.0855,225325,333,0,0,224992,2218,0.00985812828900583,0,,
Union#Chapter II#Chapter II Neoplasms,European,flexdmg,Chapter II Neoplasms,0.0393,434608,176884,1655,0.00935641437326157,257724,2573,0.00998354829197126,0.9366,0.8802,0.9966
Union#D022#Carcinoma in situ: Bronchus and lung,European,flexdmg,Chapter II Neoplasms,0.0496,273818,36,2,0.0555555555555556,273782,2715,0.00991664901271815,5.873,1.4102,24.4583
Union#D031#Melanoma in situ of eyelid including canthus,European,flexdmg,Chapter II Neoplasms,0.0823,273830,48,2,0.0416666666666667,273782,2715,0.00991664901271815,4.3409,1.0532,17.8914
Union#D045#Carcinoma in situ: Skin of trunk,European,flexdmg,Chapter II Neoplasms,0.0256,236348,436,0,0,235912,2325,0.00985536979890807,0,,
Union#D060#Carcinoma in situ: Endocervix,European,flexdmg,Chapter II Neoplasms,0.0462,145298,79,3,0.0379746835443038,145219,1464,0.0100813254463948,3.8761,1.2213,12.3011
Union#D09#Carcinoma in situ of other and unspecified sites,European,flexdmg,Chapter II Neoplasms,0.0019,204570,2285,9,0.00393873085339169,202285,2021,0.00999085448748053,0.3918,0.2033,0.7552
Union#D090#Carcinoma in situ: Bladder,European,flexdmg,Chapter II Neoplasms,0.0394,172439,1798,9,0.0050055617352614,170641,1682,0.009856951143043,0.5053,0.262,0.9745
Union#D092#Carcinoma in situ: Eye,European,flexdmg,Chapter II Neoplasms,0.055,147652,337,0,0,147315,1484,0.0100736516987408,0,,
Union#D122#Benign neoplasm: Ascending colon,European,flexdmg,Chapter II Neoplasms,0.0743,224666,6516,50,0.00767341927562922,218150,2157,0.00988769195507678,0.7743,0.5844,1.026
Union#D22#Melanocytic naevi,European,flexdmg,Chapter II Neoplasms,0.0314,230288,7685,59,0.00767729342875732,222603,2257,0.0101391266065597,0.7553,0.5827,0.9791
Union#D222#Melanocytic naevi of ear and external auricular canal,European,flexdmg,Chapter II Neoplasms,0.0213,273940,158,5,0.0316455696202532,273782,2715,0.00991664901271815,3.2628,1.3378,7.9576
Union#D223#Melanocytic naevi of other and unspecified parts of face,European,flexdmg,Chapter II Neoplasms,0.0277,204530,2352,13,0.00552721088435374,202178,2032,0.0100505495157732,0.5474,0.3168,0.9459
Union#D251#Intramural leiomyoma of uterus,European,flexdmg,Chapter II Neoplasms,0.0964,144712,1331,20,0.0150262960180316,143381,1450,0.0101129159372581,1.4933,0.9573,2.3293
Union#D330#Benign neoplasm: Brain supratentorial,European,flexdmg,Chapter II Neoplasms,0.0108,273828,46,3,0.0652173913043478,273782,2715,0.00991664901271815,6.9656,2.1597,22.4662
